respondent_id,annual_salary_usd,salary_change_yoy_pct,job_satisfaction_score,career_growth_outlook,ai_job_replacement_fear,job_search_status,received_ai_related_promotion,work_life_balance_score,burnout_level
R00160,53800.0,9.8,4,Positive,Neutral,Not looking,No,4,None
R00161,46900.0,7.8,5,Neutral,Unlikely,Recently changed,No,3,None
R00162,72900.0,9.2,5,Neutral,Unlikely,Actively looking,No,5,Moderate
R00163,59700.0,17.8,4,Neutral,Unlikely,Open to offers,No,3,Moderate
R00164,51900.0,-4.4,3,Positive,Unlikely,Not looking,No,4,Moderate
R00165,175600.0,2.3,4,Very negative,Somewhat likely,Not looking,No,2,Mild
R00166,176000.0,3.2,5,Positive,Unlikely,Not looking,No,3,None
R00167,282600.0,4.5,1,Positive,Neutral,Not looking,No,1,None
R00168,271000.0,15.9,4,Neutral,Neutral,Actively looking,No,4,Moderate
R00169,144400.0,12.3,1,Very positive,Very likely,Not looking,No,4,Mild
R00170,66900.0,15.2,2,Neutral,Neutral,Not looking,No,4,Mild
R00171,87200.0,-1.4,4,Neutral,Unlikely,Not looking,No,1,Moderate
R00172,133000.0,-15.1,4,Neutral,Very likely,Open to offers,Yes,5,Moderate
R00173,62200.0,5.2,3,Positive,Unlikely,Open to offers,No,3,Mild
R00174,71300.0,8.6,4,Positive,Neutral,Not looking,No,5,None
R00175,147100.0,6.7,2,Neutral,Unlikely,Not looking,Yes,4,Severe
R00176,70800.0,-0.9,5,Positive,Neutral,Not looking,No,5,Moderate
R00177,28300.0,18.1,5,Positive,Neutral,Not looking,Yes,4,Mild
R00178,94100.0,3.0,4,Very negative,Neutral,Not looking,No,4,Severe
R00179,159700.0,19.7,4,Very positive,Very unlikely,Actively looking,No,3,Moderate
R00180,181800.0,17.6,4,Negative,Neutral,Open to offers,No,5,None
R00181,319500.0,10.5,4,Neutral,Very likely,Actively looking,No,3,None
R00182,35200.0,17.0,4,Positive,Very likely,Not looking,No,2,None
R00183,38100.0,14.9,4,Very positive,Unlikely,Not looking,No,2,Moderate
R00184,146300.0,5.4,5,Positive,Neutral,Open to offers,No,5,None
R00185,181000.0,1.5,3,Very positive,Very likely,Open to offers,No,3,Moderate
R00186,45800.0,-0.2,3,Neutral,Very likely,Not looking,No,3,Severe
R00187,100600.0,7.7,4,Very positive,Unlikely,Actively looking,No,3,Moderate
R00188,88400.0,7.7,3,Negative,Unlikely,Open to offers,Yes,2,Moderate
R00189,49800.0,6.5,4,Positive,Neutral,Actively looking,No,1,Severe
R00190,164400.0,-4.9,4,Negative,Very likely,Not looking,Yes,2,Moderate
R00191,16000.0,5.1,4,Very positive,Somewhat likely,Open to offers,No,4,Mild
R00192,30000.0,5.9,2,Negative,Neutral,Not looking,No,2,Moderate
R00193,87100.0,6.8,5,Very positive,Unlikely,Not looking,No,2,None
R00194,279600.0,7.0,4,Positive,Neutral,Open to offers,No,5,Moderate
R00195,12300.0,11.2,3,Positive,Neutral,Not looking,No,3,Mild
R00196,13400.0,4.8,3,Neutral,Somewhat likely,Not looking,No,5,Moderate
R00197,96600.0,-2.4,5,Negative,Very likely,Recently changed,No,3,None
R00198,65700.0,7.5,3,Neutral,Very likely,Not looking,No,4,Mild
R00199,47900.0,0.7,3,Neutral,Unlikely,Actively looking,No,4,Mild
R00200,78900.0,5.8,3,Positive,Somewhat likely,Open to offers,No,4,Mild
R00201,46600.0,20.4,3,Positive,Somewhat likely,Open to offers,No,5,Moderate
R00202,75600.0,-12.1,2,Neutral,Unlikely,Open to offers,No,5,Moderate
R00203,107700.0,12.8,4,Positive,Somewhat likely,Open to offers,Yes,3,Moderate
R00204,161700.0,3.1,3,Very positive,Unlikely,Not looking,No,4,Moderate
R00205,131700.0,6.3,5,Neutral,Neutral,Not looking,No,5,None
R00206,89400.0,2.7,3,Positive,Neutral,Actively looking,No,3,Mild
R00207,123500.0,8.3,4,Neutral,Unlikely,Open to offers,No,4,None
R00208,63400.0,10.1,5,Negative,Very unlikely,Not looking,No,1,Moderate
R00209,31800.0,-6.7,4,Very negative,Very unlikely,Open to offers,Yes,1,Moderate
R00210,221700.0,1.1,3,Positive,Neutral,Open to offers,No,2,Mild
R00211,171300.0,0.2,5,Neutral,Very unlikely,Open to offers,No,2,Mild
R00212,14400.0,5.8,1,Positive,Very unlikely,Open to offers,No,4,Moderate
R00213,36300.0,-2.1,4,Positive,Neutral,Not looking,No,4,Moderate
R00214,152700.0,8.4,5,Positive,Neutral,Not looking,Yes,3,Moderate
R00215,128700.0,14.8,3,Positive,Neutral,Open to offers,Yes,5,None
R00216,283300.0,10.6,4,Very negative,Neutral,Open to offers,No,4,None
R00217,100200.0,6.2,3,Neutral,Unlikely,Not looking,No,2,Moderate
R00218,156900.0,-8.7,3,Very positive,Unlikely,Open to offers,Yes,4,Mild
R00219,48900.0,-0.4,4,Neutral,Very likely,Actively looking,No,3,Moderate
R00220,56000.0,-3.7,2,Positive,Unlikely,Open to offers,No,5,Mild
R00221,566800.0,10.4,5,Positive,Neutral,Not looking,No,3,None
R00222,69000.0,9.8,2,Neutral,Somewhat likely,Recently changed,No,4,Mild
R00223,103200.0,19.7,4,Neutral,Neutral,Not looking,Yes,1,Mild
R00224,93400.0,-0.4,5,Neutral,Unlikely,Open to offers,No,3,Moderate
R00225,153000.0,-1.6,4,Neutral,Unlikely,Not looking,No,5,Severe
R00226,32900.0,-2.7,4,Negative,Neutral,Actively looking,No,4,Moderate
R00227,252600.0,7.9,4,Negative,Neutral,Open to offers,No,4,Severe
R00228,20200.0,-0.6,3,Positive,Very unlikely,Open to offers,No,3,Severe
R00229,54800.0,8.3,5,Very negative,Somewhat likely,Actively looking,No,3,Moderate
R00230,85600.0,-1.0,4,Positive,Very unlikely,Actively looking,No,3,Mild
R00231,5000.0,5.0,3,Positive,Very unlikely,Not looking,No,5,Moderate
R00232,48000.0,-5.9,4,Very positive,Very likely,Actively looking,No,5,Mild
R00233,205700.0,4.5,4,Positive,Unlikely,Open to offers,No,4,Moderate
R00234,79400.0,-6.2,5,Positive,Unlikely,Actively looking,No,3,Mild
R00235,208400.0,-2.5,4,Negative,Neutral,Open to offers,Yes,5,Severe
R00236,158800.0,6.0,5,Positive,Neutral,Actively looking,No,2,Mild
R00237,43100.0,1.7,4,Negative,Somewhat likely,Not looking,No,5,None
R00238,131900.0,4.6,2,Positive,Somewhat likely,Not looking,No,3,Moderate
R00239,24900.0,1.3,4,Positive,Very unlikely,Not looking,No,4,Moderate
R00240,54600.0,2.7,4,Negative,Unlikely,Not looking,Yes,4,Mild
R00241,85400.0,-4.6,4,Positive,Neutral,Not looking,No,3,Moderate
R00242,114400.0,0.4,4,Positive,Somewhat likely,Not looking,No,4,Mild
R00243,50300.0,2.3,1,Positive,Neutral,Not looking,No,3,Severe
R00244,318900.0,-7.5,4,Positive,Very likely,Not looking,No,4,Moderate
R00245,37600.0,17.0,4,Negative,Somewhat likely,Not looking,Yes,2,None
R00246,95900.0,-2.3,3,Very positive,Neutral,Recently changed,No,5,Severe
R00247,43400.0,7.6,3,Very positive,Neutral,Open to offers,No,5,None
R00248,188700.0,-6.5,5,Positive,Neutral,Recently changed,No,2,Severe
R00249,313900.0,1.9,3,Negative,Very likely,Open to offers,No,4,Severe
R00250,239400.0,8.8,4,Negative,Neutral,Not looking,No,3,Moderate
R00251,265500.0,4.2,3,Negative,Unlikely,Not looking,Yes,2,Mild
R00252,21400.0,-8.8,4,Positive,Neutral,Not looking,No,2,Mild
R00253,300000.0,13.8,4,Very positive,Very unlikely,Not looking,No,4,Mild
R00254,40200.0,10.5,4,Neutral,Unlikely,Not looking,No,4,Moderate
R00255,222600.0,11.6,5,Positive,Unlikely,Open to offers,No,2,Moderate
R00256,22500.0,6.4,4,Neutral,Very unlikely,Open to offers,No,3,None
R00257,79500.0,6.8,5,Neutral,Very unlikely,Not looking,No,4,Moderate
R00258,35900.0,5.9,2,Neutral,Neutral,Open to offers,No,4,Mild
R00259,20300.0,2.7,3,Neutral,Unlikely,Recently changed,No,5,Severe
R00260,153900.0,9.3,5,Positive,Very unlikely,Not looking,No,1,Mild
R00261,68900.0,1.7,3,Negative,Very unlikely,Open to offers,No,3,Severe
R00262,216100.0,-18.0,3,Positive,Unlikely,Not looking,No,1,Severe
R00263,38300.0,20.6,4,Positive,Unlikely,Not looking,No,2,Mild
R00264,51100.0,21.3,5,Very positive,Somewhat likely,Recently changed,No,3,Moderate
R00265,186700.0,4.9,4,Negative,Neutral,Open to offers,No,4,Severe
R00266,85100.0,23.3,4,Very positive,Neutral,Open to offers,No,3,Moderate
R00267,39400.0,20.7,5,Negative,Somewhat likely,Open to offers,Yes,4,Severe
R00268,13600.0,1.7,4,Negative,Unlikely,Not looking,Yes,4,None
R00269,175500.0,7.4,3,Negative,Unlikely,Actively looking,No,3,Moderate
R00270,196200.0,15.0,3,Positive,Neutral,Not looking,Yes,3,Mild
R00271,107000.0,-2.2,2,Very positive,Very unlikely,Actively looking,No,5,Moderate
R00272,97100.0,10.4,3,Neutral,Somewhat likely,Open to offers,No,4,Severe
R00273,358900.0,3.9,5,Positive,Very likely,Not looking,No,5,None
R00274,98700.0,25.0,2,Negative,Very unlikely,Open to offers,No,4,None
R00275,52300.0,-0.8,4,Neutral,Very unlikely,Recently changed,No,5,Moderate
R00276,45600.0,1.0,4,Very positive,Very likely,Not looking,No,2,Mild
R00277,117700.0,0.8,5,Positive,Neutral,Open to offers,No,5,Mild
R00278,84100.0,9.6,3,Neutral,Somewhat likely,Open to offers,No,4,None
R00279,150200.0,8.5,3,Negative,Unlikely,Open to offers,No,4,Severe
R00280,132800.0,10.0,4,Neutral,Very unlikely,Not looking,No,5,Severe
R00281,134100.0,12.1,4,Negative,Unlikely,Actively looking,No,3,None
R00282,175100.0,6.1,5,Positive,Somewhat likely,Open to offers,No,4,Moderate
R00283,97000.0,14.5,5,Positive,Very unlikely,Open to offers,No,2,Moderate
R00284,212000.0,2.6,4,Negative,Neutral,Not looking,Yes,4,Severe
R00285,426700.0,-0.5,1,Negative,Neutral,Not looking,No,4,None
R00286,73200.0,13.2,4,Positive,Very unlikely,Open to offers,Yes,4,None
R00287,192500.0,19.7,4,Very positive,Neutral,Not looking,No,3,Mild
R00288,97000.0,-14.6,5,Neutral,Unlikely,Actively looking,No,4,Mild
R00289,54100.0,7.7,3,Neutral,Very unlikely,Not looking,No,4,Mild
R00290,11100.0,2.4,4,Positive,Somewhat likely,Not looking,No,2,Moderate
R00291,151200.0,16.8,5,Positive,Unlikely,Open to offers,No,1,Moderate
R00292,24700.0,5.2,3,Very positive,Somewhat likely,Not looking,No,4,Mild
R00293,91700.0,1.2,4,Very negative,Unlikely,Actively looking,No,4,None
R00294,51300.0,2.0,3,Positive,Unlikely,Open to offers,Yes,4,Mild
R00295,172500.0,10.1,2,Positive,Somewhat likely,Not looking,No,5,Mild
R00296,91300.0,-2.7,3,Positive,Unlikely,Actively looking,Yes,1,Mild
R00297,66400.0,-15.2,4,Negative,Very likely,Not looking,No,1,Mild
R00298,254100.0,5.8,4,Positive,Unlikely,Not looking,No,4,Moderate
R00299,223500.0,9.0,4,Positive,Somewhat likely,Not looking,Yes,3,Moderate
R00300,104300.0,1.6,3,Negative,Neutral,Not looking,No,5,Moderate
R00301,174000.0,5.9,3,Very positive,Unlikely,Recently changed,No,3,Mild
R00302,183400.0,3.9,1,Neutral,Very likely,Open to offers,Yes,3,None
R00303,101700.0,8.0,1,Very positive,Unlikely,Recently changed,No,4,Severe
R00304,241100.0,9.3,4,Neutral,Very likely,Open to offers,No,4,Moderate
R00305,89500.0,-3.0,4,Neutral,Somewhat likely,Not looking,No,4,Mild
R00306,91200.0,10.6,4,Neutral,Very unlikely,Not looking,No,3,Severe
R00307,216100.0,6.9,4,Neutral,Very unlikely,Not looking,No,3,None
R00308,223500.0,1.0,4,Positive,Unlikely,Actively looking,No,4,Moderate
R00309,159300.0,15.2,4,Neutral,Unlikely,Recently changed,No,2,Moderate
R00310,86100.0,12.5,5,Very negative,Unlikely,Not looking,Yes,2,Moderate
R00311,166600.0,10.5,4,Negative,Somewhat likely,Open to offers,Yes,5,Mild
R00312,169700.0,-4.1,4,Very positive,Unlikely,Recently changed,No,3,Moderate
R00313,53400.0,9.3,3,Very positive,Neutral,Not looking,No,4,Mild
R00314,315200.0,2.7,5,Positive,Unlikely,Open to offers,No,4,Moderate
R00315,141900.0,2.4,3,Very positive,Neutral,Open to offers,Yes,5,Mild
R00316,29600.0,6.8,1,Positive,Neutral,Actively looking,No,3,Severe
R00317,182400.0,7.2,4,Positive,Very likely,Actively looking,Yes,3,Moderate
R00318,84600.0,0.9,5,Very negative,Neutral,Not looking,No,4,Moderate
R00319,179900.0,9.7,4,Neutral,Neutral,Not looking,Yes,3,None
R00320,157200.0,15.1,4,Negative,Somewhat likely,Open to offers,No,4,Mild
R00321,149500.0,6.2,4,Neutral,Somewhat likely,Open to offers,Yes,3,Moderate
R00322,172900.0,15.8,3,Neutral,Neutral,Open to offers,No,5,Moderate
R00323,108100.0,13.9,4,Negative,Neutral,Open to offers,No,3,Mild
R00324,215300.0,1.7,3,Very positive,Somewhat likely,Not looking,No,4,Moderate
R00325,88000.0,11.6,4,Negative,Unlikely,Not looking,No,3,None
R00326,85700.0,-7.5,3,Positive,Very likely,Not looking,No,4,None
R00327,42800.0,3.4,2,Negative,Unlikely,Actively looking,No,3,Severe
R00328,149500.0,3.8,2,Positive,Neutral,Open to offers,Yes,4,Moderate
R00329,77900.0,1.0,3,Neutral,Neutral,Open to offers,No,1,Mild
R00330,173900.0,5.9,5,Neutral,Neutral,Not looking,No,4,None
R00331,131500.0,0.7,4,Very positive,Unlikely,Not looking,No,4,None
R00332,40300.0,11.9,2,Positive,Somewhat likely,Actively looking,Yes,3,Mild
R00333,167600.0,-2.6,4,Neutral,Unlikely,Open to offers,Yes,2,Moderate
R00334,156300.0,13.7,5,Negative,Neutral,Actively looking,No,3,Moderate
R00335,283800.0,9.8,5,Very negative,Very unlikely,Actively looking,No,4,Moderate
R00336,30100.0,9.5,3,Very positive,Neutral,Open to offers,No,1,Mild
R00337,119400.0,8.6,4,Very positive,Neutral,Not looking,Yes,4,Moderate
R00338,96300.0,1.2,3,Neutral,Very unlikely,Not looking,Yes,4,Moderate
R00339,116600.0,2.2,5,Very positive,Somewhat likely,Actively looking,No,4,Mild
R00340,17000.0,-4.2,3,Positive,Unlikely,Open to offers,Yes,3,Severe
R00341,141400.0,6.0,4,Very negative,Neutral,Open to offers,Yes,2,Mild
R00342,43300.0,9.5,2,Positive,Unlikely,Recently changed,Yes,3,None
R00343,71500.0,15.1,5,Positive,Unlikely,Not looking,No,2,Mild
R00344,123800.0,12.1,4,Neutral,Very unlikely,Open to offers,No,3,Moderate
R00345,80000.0,1.1,3,Very positive,Unlikely,Recently changed,No,3,Moderate
R00346,38800.0,3.0,3,Positive,Unlikely,Not looking,No,3,Moderate
R00347,57400.0,12.2,3,Very negative,Unlikely,Actively looking,Yes,4,Mild
R00348,48400.0,2.2,3,Very positive,Unlikely,Actively looking,No,3,Moderate
