respondent_id,company_has_ai_policy,ai_bias_concern_level,data_privacy_concern_level,supports_ai_regulation,has_experienced_ai_misuse,trust_in_ai_decisions
R00123,No,5,3,Agree,No,Very low
R00124,Yes - formal,3,3,Disagree,Unsure,Moderate
R00125,No,3,3,Neutral,Unsure,Moderate
R00126,Don't know,4,5,Neutral,No,Moderate
R00127,No,2,4,Strongly agree,No,Very low
R00128,No,5,3,Neutral,No,Low
R00129,Yes - informal,4,3,Disagree,No,Low
R00130,Yes - formal,5,5,Disagree,Unsure,Moderate
R00131,No,4,3,Neutral,No,Very low
R00132,Don't know,4,4,Disagree,Unsure,Moderate
R00133,Don't know,4,4,Neutral,No,Moderate
R00134,Yes - formal,3,5,Strongly agree,No,Low
R00135,Don't know,3,4,Agree,Unsure,High
R00136,Yes - formal,3,2,Agree,No,Low
R00137,No,3,4,Strongly agree,Unsure,High
R00138,Don't know,5,4,Disagree,Yes,Moderate
R00139,Don't know,3,5,Agree,No,High
R00140,No,4,5,Agree,Yes,Moderate
R00141,Yes - formal,5,5,Strongly agree,Yes,Low
R00142,No,5,3,Disagree,No,Moderate
R00143,No,3,4,Strongly agree,Yes,Low
R00144,No,3,2,Neutral,No,Very low
R00145,Don't know,4,4,Neutral,No,Moderate
R00146,No,5,5,Neutral,No,High
R00147,No,2,4,Agree,Yes,Low
R00148,No,5,3,Agree,Unsure,Low
R00149,No,5,4,Strongly disagree,No,Moderate
R00150,No,4,3,Agree,No,Moderate
R00151,Don't know,5,5,Neutral,No,Moderate
R00152,Don't know,2,5,Neutral,Unsure,Low
R00153,Yes - formal,1,4,Agree,No,Moderate
R00154,Yes - formal,5,1,Strongly agree,No,High
R00155,Don't know,2,2,Strongly agree,No,Moderate
R00156,Don't know,4,5,Agree,No,Moderate
R00157,No,4,4,Agree,Unsure,High
R00158,No,4,4,Agree,No,Low
R00159,Don't know,2,5,Strongly agree,No,Low
R00160,Yes - informal,4,4,Agree,Unsure,Very low
R00161,Yes - formal,3,4,Agree,No,Moderate
R00162,Yes - formal,4,3,Disagree,Yes,Moderate
R00163,Don't know,3,5,Neutral,Unsure,Moderate
R00164,Yes - formal,4,4,Disagree,No,Low
R00165,Don't know,4,1,Strongly disagree,Yes,Low
R00166,Yes - informal,4,3,Neutral,Unsure,Low
R00167,Yes - formal,1,4,Strongly agree,No,Moderate
R00168,No,3,4,Neutral,Yes,Moderate
R00169,Don't know,5,4,Neutral,Unsure,Low
R00170,Don't know,4,3,Agree,No,Low
R00171,Don't know,2,4,Disagree,Unsure,High
R00172,Yes - informal,4,3,Neutral,No,Low
R00173,Yes - formal,3,3,Disagree,No,Moderate
R00174,Don't know,3,1,Neutral,Unsure,Low
R00175,Yes - informal,1,5,Neutral,No,Low
R00176,Don't know,4,4,Agree,No,Moderate
R00177,No,3,3,Agree,No,Very low
R00178,No,3,5,Strongly disagree,No,Moderate
R00179,Yes - formal,2,3,Strongly agree,No,Very low
R00180,Yes - formal,4,3,Neutral,No,Low
R00181,No,4,5,Strongly agree,No,Moderate
R00182,Yes - formal,3,4,Agree,No,Moderate
R00183,Yes - informal,5,1,Strongly disagree,No,Moderate
R00184,No,1,4,Strongly agree,No,Low
R00185,Yes - formal,5,3,Strongly disagree,Unsure,Moderate
R00186,Yes - formal,3,5,Neutral,Unsure,Moderate
R00187,Yes - informal,3,3,Neutral,No,High
R00188,Don't know,5,5,Strongly disagree,Unsure,Moderate
R00189,No,4,3,Neutral,No,Very low
R00190,Don't know,4,3,Strongly agree,No,Moderate
R00191,No,1,4,Neutral,No,High
R00192,Don't know,2,2,Agree,No,Low
R00193,Yes - informal,2,4,Agree,No,Moderate
R00194,Don't know,4,3,Strongly disagree,No,Low
R00195,No,4,4,Disagree,Yes,High
R00196,Don't know,2,5,Strongly agree,No,Low
R00197,No,4,5,Agree,No,Low
R00198,No,2,2,Agree,No,Low
R00199,Yes - formal,2,5,Strongly disagree,Unsure,Moderate
R00200,No,4,4,Strongly agree,No,Moderate
R00201,No,2,4,Agree,No,Low
R00202,No,2,5,Strongly agree,No,Moderate
R00203,Don't know,3,5,Strongly disagree,Unsure,Very low
R00204,Yes - formal,3,4,Neutral,Unsure,High
R00205,Yes - informal,5,5,Neutral,No,Very low
R00206,No,3,5,Disagree,No,Low
R00207,Yes - informal,3,5,Strongly disagree,No,Low
R00208,No,3,3,Neutral,No,Moderate
R00209,Yes - formal,4,4,Agree,No,High
R00210,Yes - informal,4,4,Agree,No,Moderate
R00211,Yes - informal,3,5,Agree,No,High
R00212,Yes - formal,4,5,Neutral,Unsure,Moderate
R00213,Yes - formal,5,3,Agree,No,Moderate
R00214,Yes - formal,4,5,Strongly disagree,No,Low
R00215,No,5,3,Strongly disagree,No,High
R00216,No,2,5,Neutral,No,Low
R00217,Yes - informal,3,1,Strongly agree,No,Low
R00218,Yes - formal,4,5,Disagree,Yes,Moderate
R00219,Yes - informal,3,4,Agree,No,Low
R00220,Yes - informal,1,5,Strongly agree,No,Very low
R00221,Yes - informal,4,4,Agree,No,High
R00222,Yes - informal,4,3,Strongly disagree,No,Moderate
R00223,Don't know,4,4,Neutral,Unsure,Moderate
R00224,Don't know,1,5,Disagree,No,Low
R00225,Yes - informal,3,3,Agree,Unsure,Moderate
R00226,No,5,4,Disagree,No,Low
R00227,No,1,4,Strongly disagree,Unsure,Low
R00228,Yes - informal,3,5,Strongly agree,No,High
R00229,Don't know,4,5,Disagree,No,Low
R00230,No,5,2,Agree,No,Moderate
R00231,Yes - formal,3,5,Agree,No,Moderate
R00232,Yes - formal,3,4,Neutral,Unsure,Moderate
R00233,Yes - informal,5,4,Neutral,No,High
R00234,No,3,5,Strongly agree,No,Low
R00235,No,5,5,Neutral,No,Moderate
R00236,Yes - formal,2,4,Neutral,No,Moderate
R00237,No,3,5,Agree,No,Low
R00238,No,4,3,Agree,No,High
R00239,No,3,5,Agree,No,Low
R00240,Yes - informal,5,5,Agree,No,Low
R00241,No,4,5,Agree,No,Moderate
R00242,Yes - informal,2,4,Agree,No,Moderate
R00243,Don't know,2,4,Neutral,Yes,Moderate
R00244,No,4,3,Strongly agree,Yes,Low
R00245,Yes - informal,5,5,Agree,No,Very low
R00246,Yes - informal,4,5,Agree,Unsure,Low
R00247,Yes - informal,4,4,Neutral,Unsure,Low
R00248,Yes - formal,3,5,Neutral,No,Moderate
R00249,Don't know,5,4,Agree,Yes,Low
R00250,Yes - formal,3,4,Agree,Unsure,Moderate
R00251,Don't know,1,3,Agree,No,Moderate
R00252,No,3,5,Disagree,No,Moderate
R00253,No,3,5,Strongly agree,Unsure,High
R00254,Yes - formal,3,4,Strongly agree,No,Low
R00255,No,5,5,Neutral,Unsure,Moderate
R00256,Yes - formal,5,3,Agree,Unsure,High
R00257,No,5,4,Strongly disagree,Unsure,Low
R00258,No,5,4,Agree,Yes,Moderate
R00259,Yes - formal,5,5,Disagree,Unsure,Low
R00260,No,5,3,Neutral,No,High
R00261,Yes - formal,5,4,Agree,No,Very low
R00262,No,2,4,Agree,No,Very low
R00263,Yes - informal,3,4,Neutral,No,Low
R00264,Don't know,1,2,Agree,No,Moderate
R00265,No,4,3,Agree,Yes,Moderate
R00266,No,5,5,Agree,No,Moderate
R00267,No,4,4,Agree,No,Moderate
R00268,No,2,4,Strongly agree,No,Very low
R00269,Yes - informal,1,5,Neutral,No,High
R00270,Yes - informal,5,2,Disagree,Unsure,Moderate
R00271,No,4,3,Neutral,No,Very low
R00272,No,5,5,Strongly agree,No,Low
R00273,Yes - informal,4,5,Agree,No,Very low
R00274,Yes - informal,4,4,Strongly disagree,Yes,Low
R00275,Don't know,5,2,Neutral,No,Moderate
R00276,No,5,2,Strongly agree,Yes,Moderate
R00277,No,3,3,Strongly agree,No,Moderate
R00278,No,3,5,Neutral,No,Moderate
R00279,Yes - formal,2,4,Neutral,No,Moderate
R00280,Yes - informal,3,3,Strongly agree,No,Moderate
R00281,No,5,5,Neutral,Unsure,Moderate
R00282,No,5,4,Neutral,Unsure,Moderate
R00283,Yes - formal,4,1,Agree,No,Very low
R00284,Yes - formal,4,1,Agree,Yes,Moderate
R00285,Yes - informal,2,4,Strongly agree,No,Low
R00286,Don't know,2,5,Neutral,Yes,High
R00287,No,3,4,Agree,Unsure,Low
R00288,Yes - formal,5,4,Strongly agree,Unsure,Very low
R00289,No,3,4,Strongly agree,No,Moderate
R00290,Yes - informal,4,5,Agree,No,High
R00291,Yes - formal,4,2,Neutral,No,Moderate
R00292,No,3,5,Strongly disagree,No,Low
R00293,No,5,2,Agree,Yes,Very low
R00294,Yes - formal,2,4,Neutral,No,Moderate
R00295,Yes - formal,5,2,Agree,Yes,High
R00296,Don't know,3,4,Agree,No,Very low
R00297,No,4,4,Strongly agree,Yes,Low
R00298,Yes - informal,3,3,Disagree,No,Moderate
R00299,Don't know,3,4,Strongly disagree,Unsure,Moderate
R00300,Don't know,1,5,Strongly agree,No,Moderate
R00301,No,2,4,Agree,No,Low
R00302,No,4,5,Neutral,Yes,High
R00303,No,2,5,Disagree,Yes,Low
R00304,Yes - informal,5,4,Agree,No,Moderate
R00305,No,1,5,Strongly agree,Unsure,Moderate
R00306,Yes - informal,3,3,Agree,No,High
R00307,No,4,4,Agree,No,Low
R00308,Yes - formal,4,5,Neutral,No,Moderate
R00309,No,3,5,Agree,No,Low
R00310,No,4,4,Agree,Unsure,Low
R00311,Don't know,5,4,Strongly agree,Unsure,Moderate
R00312,No,4,4,Agree,No,Moderate
R00313,Yes - formal,3,2,Agree,Unsure,Low
R00314,No,3,4,Disagree,No,High
R00315,Yes - formal,5,4,Agree,No,Moderate
R00316,No,4,5,Agree,Yes,Moderate
R00317,No,4,3,Neutral,Unsure,Low
R00318,Yes - formal,5,1,Neutral,Yes,Low
R00319,Yes - formal,5,5,Agree,No,Very low
R00320,No,4,5,Agree,Unsure,Moderate
R00321,No,5,3,Neutral,Yes,Low
R00322,Yes - formal,2,4,Strongly agree,No,Low
R00323,No,3,3,Neutral,Yes,High
R00324,No,4,2,Agree,Unsure,Very low
R00325,No,3,2,Agree,No,Moderate
R00326,Don't know,3,4,Neutral,No,Moderate
R00327,Yes - formal,4,3,Neutral,Yes,Moderate
R00328,No,5,1,Strongly agree,Unsure,Low
R00329,Yes - informal,3,4,Disagree,Yes,Low
R00330,Yes - formal,3,4,Strongly agree,No,Very low
R00331,Yes - informal,5,5,Neutral,No,Very low
R00332,Yes - informal,2,4,Agree,Unsure,Low
R00333,Yes - formal,5,5,Strongly agree,No,Low
R00334,No,4,5,Neutral,No,Moderate
R00335,Yes - formal,3,5,Agree,Unsure,Moderate
R00336,Don't know,3,5,Agree,No,Very low
R00337,No,1,4,Strongly agree,No,Moderate
R00338,Don't know,2,5,Strongly agree,No,Moderate
R00339,Yes - formal,2,3,Neutral,Unsure,High
R00340,Yes - formal,4,4,Agree,Yes,Low
R00341,Don't know,3,5,Neutral,Yes,Moderate
R00342,No,4,4,Strongly agree,No,Moderate
R00343,Yes - informal,2,4,Disagree,No,Moderate
R00344,No,4,5,Strongly agree,Yes,Low
R00345,Yes - informal,3,4,Agree,Unsure,Very low
R00346,Don't know,3,2,Agree,No,High
R00347,Yes - informal,5,3,Strongly agree,No,Very low
R00348,No,2,3,Agree,Yes,Moderate
R00349,Yes - informal,3,1,Strongly agree,No,High
R00350,No,4,3,Neutral,No,Moderate
R00351,Yes - formal,5,5,Neutral,No,Moderate
R00352,No,5,4,Strongly agree,No,Very low
R00353,Yes - formal,5,5,Neutral,Yes,Low
R00354,No,5,4,Agree,No,Moderate
R00355,Yes - informal,5,5,Strongly agree,No,High
R00356,Yes - informal,3,5,Strongly disagree,No,Moderate
R00357,No,5,1,Agree,No,Low
R00358,Yes - formal,2,3,Agree,No,High
R00359,Yes - informal,5,3,Strongly agree,No,Moderate
R00360,Yes - formal,5,4,Strongly agree,No,Low
R00361,Yes - formal,5,3,Agree,Yes,Very low
R00362,Yes - informal,4,4,Strongly disagree,No,Moderate
R00363,Yes - formal,5,4,Neutral,No,Low
R00364,Don't know,3,3,Agree,No,Moderate
R00365,No,3,5,Neutral,No,Moderate
R00366,No,5,3,Disagree,No,Moderate
R00367,No,1,5,Neutral,Yes,Moderate
R00368,Yes - formal,3,4,Strongly agree,Unsure,High
R00369,Yes - informal,4,2,Strongly disagree,No,Moderate
R00370,No,1,4,Neutral,Unsure,Moderate
R00371,Yes - informal,5,4,Agree,Unsure,Low
R00372,Don't know,1,5,Agree,No,Moderate
R00373,Don't know,3,4,Strongly disagree,Unsure,Moderate
R00374,Yes - formal,2,4,Agree,No,Moderate
R00375,No,5,4,Agree,No,Moderate
R00376,Don't know,3,3,Disagree,No,High
R00377,Don't know,2,3,Agree,Unsure,High
R00378,Yes - formal,3,5,Agree,Unsure,Moderate
R00379,Yes - formal,3,5,Agree,No,Very low
R00380,No,5,5,Disagree,No,Low
R00381,No,4,2,Strongly agree,No,High
R00382,Yes - informal,3,5,Neutral,Yes,Low
R00383,Don't know,3,4,Neutral,Yes,Moderate
R00384,No,3,4,Strongly disagree,Unsure,Moderate
R00385,Don't know,5,2,Agree,Yes,Low
R00386,No,4,2,Agree,No,Moderate
R00387,No,5,3,Neutral,No,Low
R00388,Yes - formal,4,4,Strongly disagree,Unsure,Moderate
R00389,Yes - informal,4,3,Neutral,Yes,Low
R00390,Yes - formal,5,3,Agree,Unsure,Low
R00391,Yes - informal,5,5,Neutral,Unsure,Moderate
R00392,Don't know,4,4,Disagree,No,Moderate
R00393,Yes - formal,1,4,Strongly disagree,No,Very low
R00394,Yes - formal,5,4,Agree,Unsure,Very low
R00395,Yes - informal,2,5,Agree,No,High
R00396,No,2,4,Disagree,Yes,Low
R00397,No,5,5,Agree,No,Moderate
R00398,Yes - informal,2,2,Neutral,Unsure,Low
R00399,No,3,3,Strongly disagree,No,High
R00400,No,3,2,Neutral,No,Low
R00401,Yes - informal,2,5,Agree,No,Low
R00402,Don't know,5,5,Agree,No,Moderate
R00403,Don't know,4,5,Agree,Unsure,Moderate
R00404,Yes - formal,5,3,Strongly agree,No,Low
R00405,Don't know,2,3,Strongly agree,Unsure,Moderate
R00406,No,3,2,Agree,No,Moderate
R00407,Don't know,3,4,Agree,No,High
R00408,Yes - informal,4,3,Agree,No,Moderate
R00409,Yes - formal,2,4,Neutral,Unsure,Moderate
R00410,Don't know,4,3,Agree,Unsure,Moderate
R00411,Don't know,4,3,Agree,No,Moderate
R00412,Don't know,1,4,Agree,Yes,Moderate
R00413,No,5,5,Strongly agree,No,Moderate
R00414,Yes - formal,4,3,Agree,Unsure,Low
R00415,Yes - formal,3,2,Agree,Yes,Moderate
R00416,Yes - formal,5,5,Agree,No,Low
R00417,No,5,3,Agree,No,Low
R00418,Yes - formal,3,3,Agree,No,Moderate
R00419,Yes - formal,2,5,Neutral,No,Moderate
R00420,No,2,3,Agree,No,High
R00421,Don't know,4,5,Agree,Unsure,Low
R00422,Yes - formal,3,5,Agree,No,Very low
R00423,Yes - informal,5,1,Agree,No,Moderate
R00424,Don't know,3,3,Disagree,No,Moderate
R00425,No,2,5,Neutral,No,Moderate
R00426,No,1,3,Agree,Unsure,Low
R00427,No,4,5,Strongly disagree,Yes,Moderate
R00428,Yes - formal,4,4,Agree,Unsure,Low
R00429,Yes - formal,4,3,Agree,No,High
R00430,Yes - formal,2,4,Strongly agree,No,Low
R00431,Yes - informal,5,4,Strongly disagree,No,Moderate
R00432,Yes - formal,2,5,Agree,No,Low
R00433,No,3,3,Strongly disagree,No,Moderate
R00434,No,1,3,Neutral,No,Low
R00435,Yes - formal,4,3,Agree,No,Moderate
R00436,No,3,5,Strongly agree,Unsure,Very low
R00437,Yes - formal,5,5,Agree,Unsure,Moderate
R00438,No,5,5,Strongly disagree,No,Very low
R00439,Don't know,4,3,Agree,No,Low
R00440,Yes - formal,4,4,Strongly agree,No,Low
R00441,Yes - formal,5,3,Neutral,Unsure,Moderate
R00442,Don't know,2,4,Disagree,Unsure,Moderate
R00443,Yes - formal,4,5,Disagree,No,Low
R00444,Yes - formal,2,2,Agree,No,Very low
R00445,Don't know,2,5,Disagree,No,Low
R00446,No,4,4,Agree,Unsure,Moderate
R00447,Yes - informal,4,4,Agree,No,Moderate
R00448,Don't know,5,3,Agree,Unsure,High
R00449,Yes - formal,5,4,Strongly agree,No,Moderate
R00450,Yes - formal,4,3,Neutral,No,Moderate
R00451,Yes - formal,4,4,Agree,No,High
R00452,Yes - informal,3,5,Neutral,Unsure,Moderate
R00453,No,3,3,Neutral,No,Moderate
R00454,No,4,4,Strongly agree,Yes,Very low
R00455,Yes - informal,4,5,Agree,Unsure,High
R00456,Yes - informal,2,5,Agree,No,Moderate
R00457,Yes - informal,3,4,Agree,Yes,Low
R00458,Yes - formal,5,3,Agree,Unsure,Moderate
R00459,Yes - informal,3,4,Disagree,No,Low
R00460,Don't know,4,4,Agree,Yes,Very low
R00461,Yes - informal,5,3,Strongly disagree,Yes,Moderate
R00462,Don't know,5,4,Neutral,Yes,Low
R00463,No,4,3,Strongly agree,No,Moderate
R00464,Yes - informal,4,4,Strongly disagree,No,Moderate
R00465,Yes - formal,4,2,Neutral,No,Moderate
R00466,No,4,3,Agree,No,Low
R00467,No,3,2,Strongly agree,Yes,Moderate
R00468,Yes - formal,3,4,Neutral,Unsure,Moderate
R00469,No,5,3,Agree,Yes,Moderate
R00470,No,4,3,Disagree,No,Moderate
R00471,No,5,4,Neutral,No,Moderate
R00472,Yes - informal,4,1,Strongly disagree,Yes,High
R00473,Yes - formal,4,3,Agree,Yes,Moderate
R00474,Yes - formal,5,5,Strongly disagree,No,Very low
R00475,No,4,5,Neutral,No,Moderate
R00476,Don't know,4,5,Agree,No,Moderate
R00477,Yes - informal,5,5,Agree,No,Moderate
R00478,No,5,5,Agree,No,Moderate
R00479,Yes - informal,3,5,Strongly agree,No,Moderate
R00480,No,2,4,Strongly agree,No,Low
R00481,Yes - formal,2,3,Strongly agree,No,Low
R00482,Yes - formal,3,5,Agree,Unsure,Moderate
R00483,No,4,4,Agree,Yes,Moderate
R00484,Yes - informal,2,4,Strongly disagree,No,Moderate
R00485,Yes - formal,5,3,Disagree,No,Low
R00486,Yes - informal,1,4,Strongly agree,Unsure,Low
R00487,No,3,5,Strongly agree,No,High
R00488,Yes - formal,3,5,Agree,No,High
R00489,Don't know,4,5,Neutral,Unsure,High
R00490,No,5,5,Agree,No,High
R00491,Yes - informal,5,3,Neutral,Yes,Low
R00492,No,2,5,Neutral,No,Low
R00493,No,5,5,Strongly agree,No,Moderate
R00494,No,3,5,Neutral,No,High
R00495,Don't know,4,4,Disagree,Yes,Moderate
R00496,Yes - informal,3,4,Strongly agree,No,Very low
R00497,No,4,3,Agree,No,Low
R00498,No,4,4,Neutral,No,High
R00499,Yes - informal,4,5,Strongly agree,No,Low
R00500,No,1,5,Agree,No,Moderate
R00501,No,5,4,Neutral,Unsure,Moderate
R00502,No,4,4,Agree,Yes,Moderate
R00503,No,4,3,Agree,No,Moderate
R00504,No,4,4,Agree,No,Moderate
R00505,Don't know,2,3,Neutral,Unsure,Moderate
R00506,No,4,3,Neutral,Yes,Moderate
R00507,Yes - formal,3,5,Agree,Unsure,Moderate
R00508,Yes - formal,3,2,Agree,No,Low
R00509,Don't know,5,3,Neutral,No,Moderate
R00510,No,4,3,Neutral,No,Very low
R00511,Yes - formal,4,5,Neutral,Yes,Moderate
R00512,Yes - formal,2,4,Agree,No,Moderate
R00513,Yes - formal,4,4,Disagree,No,Low
R00514,Yes - informal,4,2,Agree,No,Moderate
R00515,Yes - informal,2,5,Disagree,No,High
R00516,Don't know,5,3,Neutral,No,Moderate
R00517,Don't know,3,4,Neutral,No,Low
R00518,No,4,5,Strongly disagree,Unsure,Moderate
R00519,Don't know,2,3,Strongly agree,No,Moderate
R00520,No,4,5,Strongly agree,No,Moderate
R00521,Yes - formal,4,4,Agree,Unsure,Low
R00522,No,1,4,Strongly disagree,Yes,High
R00523,Yes - formal,4,5,Disagree,No,Moderate
R00524,No,4,4,Agree,Yes,Very low
R00525,Yes - formal,5,5,Agree,Yes,Low
R00526,Yes - formal,3,5,Strongly agree,No,Moderate
R00527,Don't know,3,4,Strongly disagree,Yes,Moderate
R00528,Yes - formal,3,3,Neutral,Yes,Moderate
R00529,Yes - informal,3,5,Strongly agree,Yes,Very low
R00530,Yes - informal,2,4,Agree,No,Low
R00531,Yes - informal,5,5,Strongly disagree,Yes,Moderate
R00532,No,4,4,Neutral,No,High
R00533,Yes - informal,5,5,Neutral,No,Very low
R00534,No,3,3,Neutral,No,Moderate
R00535,Yes - informal,5,4,Disagree,No,High
R00536,Yes - formal,5,3,Strongly agree,Yes,Low
R00537,Yes - informal,4,5,Strongly disagree,No,Moderate
R00538,No,4,5,Neutral,Yes,Low
R00539,No,4,4,Agree,Unsure,High
R00540,Don't know,4,2,Agree,Unsure,Moderate
R00541,No,1,4,Disagree,No,High
R00542,Yes - formal,1,4,Neutral,No,High
R00543,No,5,2,Agree,No,Very low
R00544,Yes - informal,4,3,Agree,Yes,Very low
R00545,No,3,1,Neutral,Unsure,Moderate
R00546,No,4,5,Neutral,No,Low
R00547,Yes - informal,3,5,Disagree,Unsure,Moderate
R00548,Yes - informal,5,5,Agree,No,Low
R00549,Don't know,5,3,Strongly disagree,No,Moderate
R00550,Yes - formal,5,5,Neutral,Unsure,Low
R00551,No,5,5,Neutral,No,Low
R00552,Yes - informal,3,5,Agree,Unsure,Low
R00553,Yes - formal,3,3,Neutral,No,Very low
R00554,No,4,4,Agree,No,Moderate
R00555,Don't know,4,5,Neutral,Yes,Low
R00556,Yes - formal,3,3,Agree,No,Moderate
R00557,Yes - informal,4,4,Strongly agree,Unsure,Very low
