respondent_id,skills,num_skills,top_certification,weekly_learning_hours,primary_learning_platform,learned_genai_skills_2024_2026,employer_provides_ai_training
R00085,Feature Engineering; Azure; GCP; Kubernetes; Spark; Graph Neural Networks; Computer Vision; Statistics,8,,16,edX,Yes,Yes
R00086,Docker; NLP; PyTorch; Kubernetes; Reinforcement Learning; AWS; Python; Scikit-learn; Edge AI / TinyML; Generative AI; Data Visualization; Graph Neural Networks; Feature Engineering,13,Kaggle Competitions Expert,11,University courses,No,Yes
R00087,Computer Vision; RAG Pipelines; R; Fine-tuning LLMs; Statistics; MLOps,6,Azure AI Engineer,12,Coursera,Yes,Yes
R00088,Edge AI / TinyML; GCP; RAG Pipelines; Spark; AWS; R; Python; SQL,8,,13,Udemy,Yes,Yes
R00089,RAG Pipelines; Transformers; R; Time Series Analysis; Computer Vision; Docker; GCP,7,Coursera ML Certificate,3,YouTube,Yes,Partially
R00090,Prompt Engineering; Azure; Spark; Feature Engineering; Generative AI; NLP; Time Series Analysis; AWS; Edge AI / TinyML; PyTorch; Data Visualization; Kubernetes,12,,0,Udemy,Yes,Yes
R00091,Time Series Analysis; PyTorch; Fine-tuning LLMs; Computer Vision; Statistics; AWS; Reinforcement Learning; Spark; Azure; Graph Neural Networks,10,,14,YouTube,Yes,Partially
R00092,R; Kubernetes; NLP; Pandas; Python; LangChain; Reinforcement Learning,7,,8,Pluralsight,Yes,No
R00093,Docker; LangChain; Edge AI / TinyML; Pandas; Reinforcement Learning; Statistics; GCP; SQL; Python,9,Kaggle Competitions Expert,10,Self-study (books/papers),No,No
R00094,Data Visualization; R; MLOps; Time Series Analysis; TensorFlow; Scikit-learn,6,Google Professional ML Engineer,11,edX,Yes,Yes
R00095,AWS; Computer Vision; Edge AI / TinyML; SQL; Kubernetes; Prompt Engineering; Python; GCP; Generative AI,9,,7,YouTube,No,No
R00096,Feature Engineering; TensorFlow; Prompt Engineering; GCP; NLP; Edge AI / TinyML,6,,8,Fast.ai,Yes,No
R00097,TensorFlow; RAG Pipelines; GCP; Kubernetes; AWS; Prompt Engineering; PyTorch,7,,6,Pluralsight,Yes,Partially
R00098,Edge AI / TinyML; NLP; Prompt Engineering; R; Computer Vision; PyTorch; Graph Neural Networks; Statistics,8,TensorFlow Developer Certificate,0,Kaggle Learn,Yes,Partially
R00099,Azure; Transformers; Spark; NLP; Fine-tuning LLMs; PyTorch,6,Coursera ML Certificate,0,Fast.ai,Yes,No
R00100,GCP; Docker; Statistics; Computer Vision; Fine-tuning LLMs; NLP; A/B Testing; Feature Engineering,8,Azure AI Engineer,9,Self-study (books/papers),Yes,No
R00101,Feature Engineering; MLOps; AWS; Transformers; GCP; Time Series Analysis; Data Visualization; PyTorch; LangChain; A/B Testing; TensorFlow; Kubernetes,12,Google Professional ML Engineer,14,YouTube,Yes,No
R00102,Kubernetes; R; Statistics; NLP; Transformers; Fine-tuning LLMs,6,DeepLearning.AI Specialization,12,edX,Yes,Partially
R00103,Scikit-learn; MLOps; PyTorch; A/B Testing; Computer Vision; Azure; Kubernetes; Python; GCP,9,TensorFlow Developer Certificate,16,Kaggle Learn,No,No
R00104,AWS; NLP; Computer Vision; Transformers; Prompt Engineering; Reinforcement Learning; Statistics; PyTorch,8,,5,Kaggle Learn,No,No
R00105,Data Visualization; RAG Pipelines; A/B Testing; Graph Neural Networks; Azure; Spark; Docker; Scikit-learn; Generative AI; R; Reinforcement Learning,11,AWS ML Specialty,13,LinkedIn Learning,Yes,Yes
R00106,Transformers; Docker; Computer Vision; NLP; RAG Pipelines; Python; TensorFlow; Edge AI / TinyML; Time Series Analysis; MLOps; Statistics; A/B Testing,12,Google Professional ML Engineer,9,DeepLearning.AI,Yes,No
R00107,Fine-tuning LLMs; TensorFlow; Kubernetes; Docker; PyTorch; Reinforcement Learning; Generative AI; Pandas,8,Google Professional ML Engineer,0,Coursera,Yes,No
R00108,AWS; TensorFlow; Prompt Engineering; A/B Testing; Feature Engineering; Generative AI; R; Spark,8,DeepLearning.AI Specialization,17,DeepLearning.AI,Yes,No
R00109,Prompt Engineering; Fine-tuning LLMs; NLP; Pandas; Statistics; TensorFlow; Spark; Generative AI,8,AWS ML Specialty,12,Coursera,Yes,Yes
R00110,Scikit-learn; LangChain; Docker; Computer Vision,4,,5,Coursera,Yes,Partially
R00111,Python; Prompt Engineering; Edge AI / TinyML; Pandas; Kubernetes; Feature Engineering; Computer Vision; SQL; Transformers; Fine-tuning LLMs,10,AWS ML Specialty,19,University courses,Yes,Partially
R00112,LangChain; RAG Pipelines; Pandas; Transformers; Prompt Engineering; GCP; Reinforcement Learning; Spark,8,Azure AI Engineer,5,Fast.ai,No,No
R00113,Pandas; Time Series Analysis; PyTorch; Generative AI; Data Visualization; MLOps; Feature Engineering; Computer Vision; RAG Pipelines,9,Kaggle Competitions Expert,5,University courses,No,Yes
R00114,Kubernetes; AWS; Reinforcement Learning; Python; SQL; Generative AI; RAG Pipelines; TensorFlow; Prompt Engineering; Time Series Analysis,10,Azure AI Engineer,0,Kaggle Learn,No,Yes
R00115,Pandas; Time Series Analysis; Kubernetes; PyTorch; A/B Testing; GCP; Generative AI; Edge AI / TinyML; AWS; MLOps,10,DeepLearning.AI Specialization,12,Fast.ai,Yes,Partially
R00116,Scikit-learn; PyTorch; Fine-tuning LLMs; LangChain; Docker; TensorFlow; Graph Neural Networks; Feature Engineering,8,,12,Coursera,No,Partially
R00117,Graph Neural Networks; Kubernetes; AWS; Pandas,4,Azure AI Engineer,11,LinkedIn Learning,Yes,Partially
R00118,Transformers; R; Computer Vision; Prompt Engineering; LangChain,5,Coursera ML Certificate,12,Company training,No,Yes
R00119,Docker; Graph Neural Networks; PyTorch; Reinforcement Learning; R; Azure; GCP; LangChain,8,AWS ML Specialty,18,Self-study (books/papers),No,Yes
R00120,Graph Neural Networks; Feature Engineering; Transformers; LangChain; SQL; Spark; Reinforcement Learning; Statistics; Computer Vision; R; Prompt Engineering; Azure; Pandas; Data Visualization,14,Google Professional ML Engineer,6,University courses,Yes,Yes
R00121,Reinforcement Learning; NLP; Edge AI / TinyML; Python; MLOps,5,AWS ML Specialty,11,LinkedIn Learning,No,Yes
R00122,MLOps; SQL; Transformers; Generative AI; Azure,5,Google Professional ML Engineer,3,Company training,Yes,Yes
R00123,Time Series Analysis; Spark; Reinforcement Learning; A/B Testing; Statistics; Scikit-learn; SQL; GCP; Docker; LangChain; Edge AI / TinyML; Feature Engineering; RAG Pipelines; Data Visualization,14,,3,Company training,Yes,Partially
R00124,TensorFlow; Docker; Prompt Engineering; Spark; Scikit-learn; Computer Vision; Transformers; Reinforcement Learning,8,TensorFlow Developer Certificate,7,Self-study (books/papers),Yes,Partially
R00125,Fine-tuning LLMs; TensorFlow; Statistics; Transformers; Reinforcement Learning; Generative AI; GCP; RAG Pipelines,8,Google Professional ML Engineer,12,Coursera,No,No
R00126,Computer Vision; Feature Engineering; Prompt Engineering; LangChain; Reinforcement Learning; Docker; Data Visualization,7,Coursera ML Certificate,0,Self-study (books/papers),Yes,No
R00127,RAG Pipelines; SQL; Statistics; GCP; Transformers; NLP; Time Series Analysis; TensorFlow; Feature Engineering; Docker; Scikit-learn,11,Google Professional ML Engineer,5,Coursera,No,Partially
R00128,Statistics; Reinforcement Learning; Data Visualization; Generative AI; Prompt Engineering; AWS; Graph Neural Networks; Spark; RAG Pipelines; Time Series Analysis; GCP; Fine-tuning LLMs,12,Kaggle Competitions Expert,3,Fast.ai,No,Partially
R00129,Docker; GCP; Computer Vision; Feature Engineering; Edge AI / TinyML; Kubernetes; SQL; NLP,8,Kaggle Competitions Expert,2,LinkedIn Learning,Yes,No
R00130,SQL; Time Series Analysis; Pandas; R; Python; Graph Neural Networks; Spark,7,Azure AI Engineer,17,Fast.ai,No,No
R00131,LangChain; Feature Engineering; Computer Vision; Generative AI; A/B Testing; Spark; Transformers,7,AWS ML Specialty,0,Pluralsight,Yes,No
R00132,Fine-tuning LLMs; Pandas; Azure; Prompt Engineering; R; Generative AI,6,Azure AI Engineer,6,University courses,Yes,Partially
R00133,Scikit-learn; Python; Time Series Analysis; Fine-tuning LLMs; Computer Vision; PyTorch; Reinforcement Learning; Data Visualization; AWS; RAG Pipelines; R,11,,14,Kaggle Learn,Yes,No
R00134,Prompt Engineering; Generative AI; Spark; RAG Pipelines; MLOps; TensorFlow; GCP; Reinforcement Learning; Kubernetes; SQL; R; Transformers; Feature Engineering; Scikit-learn,14,Google Professional ML Engineer,8,Coursera,No,Partially
R00135,Transformers; Data Visualization; Python; GCP; LangChain; TensorFlow; Edge AI / TinyML,7,Google Professional ML Engineer,7,Coursera,No,Yes
R00136,Data Visualization; TensorFlow; Prompt Engineering; Computer Vision; LangChain,5,,0,Self-study (books/papers),Yes,No
R00137,Scikit-learn; Python; Prompt Engineering; TensorFlow; LangChain; Feature Engineering; Spark,7,Google Professional ML Engineer,4,Udemy,Yes,No
R00138,AWS; RAG Pipelines; Reinforcement Learning; Time Series Analysis; LangChain,5,Coursera ML Certificate,0,Company training,Yes,Yes
R00139,Transformers; R; Docker; Time Series Analysis; Fine-tuning LLMs; RAG Pipelines,6,,9,University courses,No,No
R00140,Azure; Python; LangChain; Data Visualization; Time Series Analysis; R; RAG Pipelines,7,Azure AI Engineer,4,Fast.ai,Yes,Partially
R00141,Edge AI / TinyML; TensorFlow; Time Series Analysis; R; Spark; SQL; Prompt Engineering; A/B Testing; PyTorch; Docker; Pandas; NLP; Kubernetes; Feature Engineering,14,,10,Coursera,Yes,No
R00142,RAG Pipelines; Kubernetes; Reinforcement Learning; NLP; Generative AI; GCP; R; AWS; Spark; Graph Neural Networks,10,Azure AI Engineer,5,LinkedIn Learning,No,Yes
R00143,Graph Neural Networks; PyTorch; NLP; R; Spark; Data Visualization; TensorFlow; Prompt Engineering; Kubernetes; Statistics; GCP,11,Kaggle Competitions Expert,3,LinkedIn Learning,Yes,Yes
R00144,GCP; RAG Pipelines; Time Series Analysis; Pandas; A/B Testing,5,DeepLearning.AI Specialization,10,edX,Yes,No
R00145,SQL; GCP; Docker; Scikit-learn; Feature Engineering; NLP; R; AWS; Spark,9,TensorFlow Developer Certificate,12,YouTube,No,Partially
R00146,PyTorch; Scikit-learn; Transformers; Prompt Engineering,4,TensorFlow Developer Certificate,2,University courses,Yes,Yes
R00147,Reinforcement Learning; Python; Edge AI / TinyML; NLP; LangChain; Transformers; TensorFlow; Prompt Engineering; Spark; Generative AI,10,,7,Kaggle Learn,Yes,Yes
R00148,Generative AI; LangChain; Scikit-learn; GCP; MLOps; Data Visualization; Computer Vision; A/B Testing; Spark,9,DeepLearning.AI Specialization,10,edX,Yes,Yes
R00149,Docker; Statistics; Prompt Engineering; SQL; Computer Vision; Pandas,6,,8,Coursera,No,Partially
R00150,Reinforcement Learning; MLOps; Fine-tuning LLMs; Docker; Graph Neural Networks; RAG Pipelines; SQL,7,,0,DeepLearning.AI,Yes,Yes
R00151,LangChain; Kubernetes; Generative AI; Azure; Statistics; Reinforcement Learning; Docker; Edge AI / TinyML; A/B Testing; Prompt Engineering,10,,11,University courses,Yes,Yes
R00152,Pandas; Graph Neural Networks; Fine-tuning LLMs; TensorFlow; NLP; Reinforcement Learning; PyTorch; RAG Pipelines; Python; Spark; R; Azure; Statistics,13,Kaggle Competitions Expert,9,DeepLearning.AI,No,No
R00153,Time Series Analysis; Prompt Engineering; Kubernetes; AWS; Graph Neural Networks; MLOps,6,,0,Coursera,Yes,Yes
R00154,Statistics; MLOps; Edge AI / TinyML; GCP; Pandas; SQL; Prompt Engineering; PyTorch; Data Visualization,9,Google Professional ML Engineer,5,Fast.ai,No,Yes
R00155,Azure; Graph Neural Networks; Pandas; TensorFlow; Computer Vision; Time Series Analysis; MLOps; Reinforcement Learning; Python,9,,10,DeepLearning.AI,Yes,Yes
R00156,Feature Engineering; Prompt Engineering; Time Series Analysis; Kubernetes; RAG Pipelines; Statistics; Edge AI / TinyML; NLP; Fine-tuning LLMs; Spark; Scikit-learn,11,Azure AI Engineer,15,Self-study (books/papers),No,No
R00157,A/B Testing; Time Series Analysis; NLP; Scikit-learn; Statistics; Reinforcement Learning; Generative AI; RAG Pipelines; AWS,9,Coursera ML Certificate,2,Company training,Yes,Partially
R00158,Azure; GCP; Graph Neural Networks; Fine-tuning LLMs,4,DeepLearning.AI Specialization,2,edX,No,No
R00159,Computer Vision; Data Visualization; TensorFlow; Statistics; Graph Neural Networks; GCP; R,7,,7,University courses,Yes,Yes
R00160,Fine-tuning LLMs; RAG Pipelines; Kubernetes; GCP; TensorFlow; Spark; SQL; Generative AI; Computer Vision,9,DeepLearning.AI Specialization,10,Kaggle Learn,Yes,Partially
R00161,AWS; SQL; PyTorch; Edge AI / TinyML; R; Computer Vision; Prompt Engineering; Data Visualization; Reinforcement Learning,9,DeepLearning.AI Specialization,9,University courses,Yes,Yes
R00162,R; LangChain; Fine-tuning LLMs; Graph Neural Networks; Statistics; Pandas; AWS; MLOps; PyTorch; TensorFlow,10,Google Professional ML Engineer,8,University courses,Yes,Yes
R00163,Python; RAG Pipelines; Time Series Analysis; Data Visualization; PyTorch; Docker; R,7,Coursera ML Certificate,5,Coursera,No,Partially
R00164,Computer Vision; PyTorch; Feature Engineering; Python; Reinforcement Learning; LangChain; Docker; TensorFlow,8,,9,edX,Yes,Yes
R00165,PyTorch; Edge AI / TinyML; Pandas; NLP,4,Azure AI Engineer,10,Company training,Yes,Yes
