respondent_id,ai_tool,usage_frequency,productivity_change_pct,satisfaction_score,primary_use_case
R00012,ChatGPT,Several times a week,5.4,3,Data analysis
R00012,LLaMA / Open-source LLMs,Several times a week,25.8,5,Research
R00012,Cursor,Daily,-3.0,5,Customer support automation
R00013,Stable Diffusion,Daily,33.4,3,Image generation
R00014,Hugging Face Models,Weekly,63.7,4,Brainstorming
R00014,Gemini,Daily,59.8,4,Writing & docs
R00014,v0 by Vercel,Daily,20.4,5,Research
R00014,GitHub Copilot,Weekly,-0.2,5,Code generation
R00014,LLaMA / Open-source LLMs,Rarely,60.9,5,Translation
R00014,Replit AI,Several times a week,-5.0,5,Research
R00014,Jasper AI,Weekly,-12.1,1,Workflow automation
R00014,Custom In-house AI,Several times a week,20.2,4,Debugging
R00015,ChatGPT,Several times a week,8.7,4,Workflow automation
R00015,Claude,Daily,29.2,4,Brainstorming
R00015,AWS Bedrock,Several times a week,10.9,4,Code generation
R00015,Jasper AI,Several times a week,8.0,5,Workflow automation
R00016,v0 by Vercel,Monthly,23.8,1,Workflow automation
R00016,ChatGPT,Several times a week,-0.6,4,Translation
R00017,Claude,Monthly,28.6,4,Data analysis
R00017,Stable Diffusion,Monthly,35.1,5,Writing & docs
R00017,AWS Bedrock,Monthly,32.5,5,Brainstorming
R00017,Notion AI,Several times a week,66.1,3,Workflow automation
R00017,Cursor,Rarely,42.0,4,Writing & docs
R00017,Hugging Face Models,Several times a week,57.8,4,Brainstorming
R00017,Replit AI,Several times a week,14.5,2,Brainstorming
R00017,GitHub Copilot,Monthly,32.6,5,Code generation
R00018,Stable Diffusion,Daily,38.6,3,Research
R00018,Replit AI,Daily,30.0,4,Workflow automation
R00018,Notion AI,Daily,57.5,5,Workflow automation
R00018,Hugging Face Models,Monthly,47.0,3,Image generation
R00019,AWS Bedrock,Daily,30.6,5,Data analysis
R00019,Notion AI,Several times a week,35.6,4,Brainstorming
R00019,Gemini,Several times a week,11.1,3,Code generation
R00019,Tableau AI,Several times a week,32.1,5,Translation
R00020,AWS Bedrock,Monthly,28.1,5,Code generation
R00020,Notion AI,Daily,62.8,5,Brainstorming
R00020,Perplexity,Daily,19.2,4,Image generation
R00021,Notion AI,Several times a week,22.0,3,Image generation
R00021,Replit AI,Several times a week,10.4,2,Writing & docs
R00021,Cursor,Several times a week,42.8,4,Debugging
R00021,Claude,Monthly,29.9,1,Translation
R00021,LLaMA / Open-source LLMs,Monthly,28.8,4,Translation
R00022,Perplexity,Several times a week,30.1,4,Research
R00022,Devin,Several times a week,54.3,5,Image generation
R00022,v0 by Vercel,Monthly,51.0,5,Code generation
R00023,Cursor,Several times a week,14.3,5,Debugging
R00023,Custom In-house AI,Several times a week,7.4,5,Writing & docs
R00023,Notion AI,Several times a week,55.5,3,Code generation
R00023,Gemini,Weekly,36.4,4,Writing & docs
R00024,Stable Diffusion,Weekly,22.2,5,Customer support automation
R00024,Hugging Face Models,Rarely,10.6,5,Translation
R00024,Claude,Daily,29.6,5,Code generation
R00024,Google Vertex AI,Daily,23.1,5,Research
R00025,Claude,Rarely,32.5,4,Data analysis
R00025,v0 by Vercel,Rarely,33.8,4,Workflow automation
R00025,LLaMA / Open-source LLMs,Monthly,9.9,5,Brainstorming
R00025,Perplexity,Several times a week,33.1,4,Image generation
R00025,Custom In-house AI,Several times a week,24.8,5,Image generation
R00025,Replit AI,Several times a week,2.4,4,Workflow automation
R00025,Hugging Face Models,Several times a week,24.2,4,Workflow automation
R00025,Azure OpenAI,Daily,51.1,2,Image generation
R00026,GitHub Copilot,Several times a week,10.5,5,Writing & docs
R00026,Tableau AI,Several times a week,52.8,3,Customer support automation
R00026,Jasper AI,Several times a week,45.7,4,Translation
R00026,Midjourney,Several times a week,3.7,4,Code generation
R00026,Replit AI,Several times a week,80.0,4,Translation
R00027,Cursor,Several times a week,56.6,4,Debugging
R00027,GitHub Copilot,Rarely,26.1,4,Translation
R00027,Midjourney,Several times a week,37.3,4,Writing & docs
R00027,Google Vertex AI,Daily,43.4,4,Debugging
R00027,Stable Diffusion,Monthly,9.6,3,Translation
R00028,Replit AI,Weekly,57.7,4,Customer support automation
R00028,LLaMA / Open-source LLMs,Several times a week,41.0,3,Data analysis
R00028,Stable Diffusion,Daily,45.1,5,Debugging
R00028,Notion AI,Daily,36.9,4,Research
R00029,Hugging Face Models,Several times a week,26.1,5,Data analysis
R00029,Midjourney,Weekly,5.7,4,Translation
R00030,Perplexity,Several times a week,9.8,5,Data analysis
R00030,Tableau AI,Several times a week,51.1,4,Data analysis
R00030,Cursor,Rarely,-9.8,4,Brainstorming
R00030,Claude,Daily,-1.5,4,Workflow automation
R00031,LLaMA / Open-source LLMs,Several times a week,43.5,4,Data analysis
R00031,Devin,Daily,45.6,4,Brainstorming
R00031,Claude,Rarely,30.8,4,Research
R00031,Tableau AI,Daily,-1.7,4,Brainstorming
R00031,ChatGPT,Daily,77.8,3,Writing & docs
R00031,GitHub Copilot,Weekly,45.7,4,Writing & docs
R00031,Midjourney,Rarely,12.4,3,Image generation
R00032,Perplexity,Rarely,27.7,5,Customer support automation
R00032,Cursor,Rarely,29.5,3,Debugging
R00033,Google Vertex AI,Daily,33.9,4,Workflow automation
R00033,Claude,Daily,13.0,4,Customer support automation
R00033,Replit AI,Monthly,41.9,2,Code generation
R00034,Jasper AI,Weekly,-6.6,4,Debugging
R00034,Stable Diffusion,Weekly,17.1,2,Image generation
R00034,Custom In-house AI,Several times a week,32.1,5,Translation
R00035,Custom In-house AI,Monthly,-20.0,5,Writing & docs
R00035,AWS Bedrock,Daily,22.5,5,Research
R00036,Midjourney,Several times a week,31.5,4,Research
R00036,Claude,Daily,13.0,5,Customer support automation
R00036,LLaMA / Open-source LLMs,Daily,9.9,4,Brainstorming
R00036,v0 by Vercel,Daily,45.6,5,Research
R00036,Replit AI,Monthly,37.5,4,Customer support automation
R00036,Tableau AI,Daily,53.3,4,Writing & docs
R00037,Hugging Face Models,Weekly,37.9,4,Research
R00037,Devin,Daily,1.7,4,Code generation
R00038,Cursor,Several times a week,4.0,3,Research
R00038,AWS Bedrock,Several times a week,52.4,3,Writing & docs
R00039,Claude,Several times a week,35.8,5,Workflow automation
R00040,GitHub Copilot,Daily,14.7,4,Data analysis
R00041,Jasper AI,Weekly,30.8,5,Debugging
R00041,Devin,Weekly,23.5,3,Workflow automation
R00041,Stable Diffusion,Daily,44.5,2,Brainstorming
R00042,Notion AI,Monthly,34.6,4,Workflow automation
R00043,AWS Bedrock,Weekly,25.5,3,Image generation
R00043,Cursor,Weekly,54.8,2,Brainstorming
R00043,Google Vertex AI,Weekly,12.0,4,Writing & docs
R00043,Midjourney,Several times a week,25.5,5,Image generation
R00043,Azure OpenAI,Monthly,18.3,5,Debugging
R00044,Midjourney,Monthly,34.5,2,Data analysis
R00044,Google Vertex AI,Weekly,39.9,4,Translation
R00044,v0 by Vercel,Several times a week,-14.9,5,Customer support automation
R00044,Replit AI,Several times a week,4.4,4,Translation
R00044,Devin,Daily,19.7,3,Translation
R00044,Cursor,Monthly,66.3,4,Code generation
R00045,Jasper AI,Daily,38.9,4,Brainstorming
R00045,Custom In-house AI,Weekly,33.5,4,Brainstorming
R00045,Stable Diffusion,Daily,23.4,4,Translation
R00045,Devin,Daily,43.3,5,Writing & docs
R00046,ChatGPT,Several times a week,29.0,4,Data analysis
R00046,v0 by Vercel,Rarely,-13.5,3,Image generation
R00046,Devin,Monthly,43.1,5,Research
R00047,Claude,Daily,68.5,4,Code generation
R00047,Azure OpenAI,Several times a week,72.0,5,Workflow automation
R00047,Cursor,Daily,57.0,5,Debugging
R00048,Devin,Monthly,27.2,2,Workflow automation
R00048,Custom In-house AI,Several times a week,21.4,4,Brainstorming
R00048,AWS Bedrock,Several times a week,23.1,4,Debugging
R00048,Gemini,Several times a week,26.6,2,Brainstorming
R00049,Replit AI,Several times a week,15.1,3,Translation
R00049,LLaMA / Open-source LLMs,Several times a week,15.3,4,Debugging
R00049,Midjourney,Several times a week,29.9,2,Debugging
R00049,ChatGPT,Monthly,34.9,3,Brainstorming
R00049,Notion AI,Several times a week,38.3,4,Workflow automation
R00050,Custom In-house AI,Rarely,51.3,5,Research
R00050,Tableau AI,Rarely,2.0,5,Image generation
R00050,Stable Diffusion,Several times a week,21.9,4,Writing & docs
R00050,Azure OpenAI,Monthly,17.8,4,Brainstorming
R00050,Hugging Face Models,Weekly,54.2,5,Research
R00050,Perplexity,Weekly,28.7,5,Debugging
R00051,Custom In-house AI,Weekly,8.1,4,Customer support automation
R00051,Devin,Several times a week,19.1,4,Customer support automation
R00051,Azure OpenAI,Daily,3.2,5,Workflow automation
R00052,v0 by Vercel,Daily,1.0,5,Data analysis
R00052,Jasper AI,Several times a week,60.4,5,Code generation
R00052,Cursor,Several times a week,30.1,3,Translation
R00052,Stable Diffusion,Daily,10.6,3,Translation
R00052,ChatGPT,Rarely,18.3,3,Debugging
R00053,Claude,Daily,32.9,2,Translation
R00054,Midjourney,Several times a week,24.0,5,Customer support automation
R00054,Notion AI,Weekly,-2.7,4,Code generation
R00054,Google Vertex AI,Weekly,-7.8,4,Brainstorming
R00055,Replit AI,Monthly,41.6,4,Translation
R00055,Devin,Weekly,32.4,5,Translation
R00055,Azure OpenAI,Weekly,38.9,4,Image generation
R00055,Cursor,Monthly,36.8,5,Customer support automation
R00056,Tableau AI,Monthly,38.4,1,Translation
R00056,Azure OpenAI,Weekly,35.4,5,Image generation
R00056,Jasper AI,Weekly,27.3,4,Research
R00056,Google Vertex AI,Rarely,23.6,5,Data analysis
R00057,Google Vertex AI,Monthly,-18.6,4,Debugging
R00057,Stable Diffusion,Several times a week,28.5,5,Image generation
R00058,Gemini,Daily,70.2,5,Customer support automation
R00058,Tableau AI,Rarely,26.9,5,Data analysis
R00058,Replit AI,Weekly,67.1,4,Brainstorming
R00058,Google Vertex AI,Daily,41.2,4,Translation
R00059,Stable Diffusion,Daily,36.9,4,Image generation
R00059,Midjourney,Several times a week,45.6,5,Debugging
R00059,Custom In-house AI,Several times a week,47.4,3,Brainstorming
R00059,Claude,Daily,54.7,4,Image generation
R00059,Devin,Monthly,20.1,4,Research
R00060,Replit AI,Weekly,-8.0,2,Debugging
R00061,Perplexity,Several times a week,39.3,4,Brainstorming
R00061,Hugging Face Models,Monthly,29.3,4,Image generation
R00061,Stable Diffusion,Several times a week,17.6,5,Brainstorming
R00061,GitHub Copilot,Monthly,-6.0,4,Translation
R00062,Google Vertex AI,Daily,23.8,5,Customer support automation
R00063,Gemini,Daily,68.6,5,Code generation
R00063,Google Vertex AI,Daily,10.1,5,Data analysis
R00063,Notion AI,Daily,49.1,3,Data analysis
R00063,Jasper AI,Weekly,32.2,4,Customer support automation
R00063,GitHub Copilot,Several times a week,54.8,5,Debugging
R00064,ChatGPT,Monthly,23.6,5,Code generation
R00064,Notion AI,Daily,64.1,4,Debugging
R00064,Claude,Daily,2.5,4,Workflow automation
R00065,Google Vertex AI,Weekly,26.7,5,Workflow automation
R00065,GitHub Copilot,Weekly,22.0,4,Debugging
R00066,LLaMA / Open-source LLMs,Weekly,21.4,4,Workflow automation
R00066,GitHub Copilot,Weekly,20.1,4,Research
R00066,Stable Diffusion,Daily,-8.7,3,Workflow automation
R00066,Azure OpenAI,Monthly,38.2,3,Image generation
R00066,Hugging Face Models,Monthly,57.7,3,Translation
R00066,Cursor,Several times a week,20.9,5,Debugging
R00066,Tableau AI,Monthly,52.1,5,Customer support automation
R00067,Claude,Daily,27.7,4,Brainstorming
R00067,Gemini,Daily,45.1,4,Translation
R00067,Tableau AI,Rarely,16.2,4,Writing & docs
R00067,Notion AI,Several times a week,51.6,4,Brainstorming
R00068,Azure OpenAI,Daily,20.3,5,Image generation
R00068,Notion AI,Several times a week,58.0,5,Debugging
R00068,Jasper AI,Weekly,-16.7,4,Data analysis
R00068,AWS Bedrock,Several times a week,-4.6,5,Image generation
R00069,Custom In-house AI,Several times a week,37.8,2,Debugging
R00069,Gemini,Daily,8.5,4,Writing & docs
R00069,Perplexity,Monthly,9.2,4,Writing & docs
R00069,Midjourney,Daily,63.2,4,Data analysis
R00069,Devin,Several times a week,18.3,5,Debugging
R00069,LLaMA / Open-source LLMs,Several times a week,-4.5,5,Workflow automation
R00069,GitHub Copilot,Monthly,-10.6,4,Debugging
R00070,Cursor,Monthly,23.6,1,Data analysis
R00070,LLaMA / Open-source LLMs,Several times a week,2.4,1,Translation
R00070,AWS Bedrock,Rarely,41.7,4,Research
R00070,Azure OpenAI,Daily,35.0,5,Brainstorming
R00071,Jasper AI,Weekly,28.0,5,Code generation
R00072,v0 by Vercel,Monthly,70.0,3,Customer support automation
R00072,LLaMA / Open-source LLMs,Daily,-9.5,1,Code generation
R00072,Perplexity,Several times a week,53.4,5,Debugging
R00073,Perplexity,Daily,37.9,4,Writing & docs
R00073,Replit AI,Daily,23.7,4,Image generation
R00073,GitHub Copilot,Monthly,0.6,4,Customer support automation
R00073,Stable Diffusion,Several times a week,19.6,5,Code generation
R00073,Custom In-house AI,Weekly,38.4,4,Debugging
R00073,Tableau AI,Monthly,33.8,4,Customer support automation
R00073,Devin,Daily,16.6,5,Code generation
R00074,Perplexity,Daily,39.5,4,Code generation
R00074,Cursor,Rarely,26.5,2,Customer support automation
R00074,Midjourney,Monthly,36.0,2,Image generation
R00074,ChatGPT,Several times a week,37.8,4,Image generation
R00074,LLaMA / Open-source LLMs,Weekly,53.1,4,Debugging
R00074,Google Vertex AI,Several times a week,38.1,3,Research
R00074,Tableau AI,Daily,10.1,4,Brainstorming
R00075,v0 by Vercel,Rarely,38.7,4,Translation
R00075,Perplexity,Weekly,23.7,4,Debugging
R00075,Hugging Face Models,Several times a week,35.2,5,Workflow automation
R00075,Cursor,Daily,37.1,3,Writing & docs
R00075,Stable Diffusion,Several times a week,27.0,2,Image generation
R00076,GitHub Copilot,Several times a week,17.8,4,Translation
R00076,AWS Bedrock,Monthly,57.3,3,Customer support automation
R00076,Midjourney,Several times a week,15.9,5,Workflow automation
R00077,ChatGPT,Weekly,14.9,4,Image generation
R00077,Tableau AI,Several times a week,55.8,4,Brainstorming
R00077,Notion AI,Rarely,42.0,4,Debugging
R00078,Google Vertex AI,Weekly,55.7,5,Translation
R00078,Perplexity,Weekly,27.3,3,Writing & docs
R00078,Replit AI,Weekly,8.2,5,Code generation
R00078,Gemini,Weekly,22.1,5,Code generation
R00079,v0 by Vercel,Several times a week,16.6,5,Research
R00079,Jasper AI,Monthly,43.7,3,Debugging
R00079,Perplexity,Rarely,40.9,5,Customer support automation
R00080,Tableau AI,Several times a week,48.9,4,Brainstorming
R00080,Gemini,Daily,29.5,5,Debugging
R00080,Custom In-house AI,Weekly,19.2,4,Workflow automation
R00080,Claude,Several times a week,20.5,2,Translation
R00081,Hugging Face Models,Daily,2.3,3,Data analysis
R00081,Devin,Several times a week,33.5,4,Debugging
R00081,Azure OpenAI,Rarely,6.5,5,Data analysis
R00081,ChatGPT,Monthly,12.3,5,Data analysis
R00082,Tableau AI,Several times a week,16.4,5,Translation
R00082,Midjourney,Daily,22.0,5,Customer support automation
R00082,v0 by Vercel,Several times a week,25.3,5,Writing & docs
R00083,GitHub Copilot,Rarely,41.5,4,Customer support automation
R00083,LLaMA / Open-source LLMs,Several times a week,76.7,1,Workflow automation
R00083,Azure OpenAI,Daily,36.2,4,Code generation
R00084,Claude,Several times a week,-5.6,1,Code generation
R00084,ChatGPT,Daily,37.0,4,Writing & docs
R00084,Midjourney,Daily,56.0,5,Data analysis
R00085,Midjourney,Daily,27.6,5,Debugging
R00085,Tableau AI,Weekly,31.6,5,Customer support automation
R00085,Replit AI,Rarely,38.3,4,Brainstorming
R00086,AWS Bedrock,Several times a week,60.5,4,Writing & docs
R00087,Google Vertex AI,Several times a week,16.0,4,Customer support automation
R00087,Perplexity,Several times a week,30.2,5,Brainstorming
R00087,v0 by Vercel,Weekly,33.2,3,Translation
R00087,ChatGPT,Several times a week,-8.6,4,Debugging
R00088,Gemini,Rarely,47.2,4,Code generation
R00088,Notion AI,Weekly,26.2,3,Debugging
R00089,Midjourney,Several times a week,29.1,4,Research
R00089,Tableau AI,Several times a week,41.4,3,Data analysis
R00089,Devin,Weekly,69.7,3,Translation
R00090,ChatGPT,Several times a week,44.7,2,Data analysis
R00090,Gemini,Several times a week,10.2,3,Customer support automation
R00090,Azure OpenAI,Several times a week,36.0,2,Workflow automation
R00090,v0 by Vercel,Several times a week,26.4,4,Customer support automation
R00091,AWS Bedrock,Daily,22.5,4,Writing & docs
R00091,v0 by Vercel,Several times a week,17.2,4,Data analysis
R00091,Midjourney,Several times a week,38.4,3,Translation
R00091,Hugging Face Models,Daily,24.7,3,Research
R00091,Google Vertex AI,Several times a week,51.0,5,Research
R00091,GitHub Copilot,Weekly,12.6,2,Workflow automation
R00091,Custom In-house AI,Monthly,10.2,4,Code generation
R00092,Devin,Daily,44.3,2,Research
R00092,Jasper AI,Daily,73.2,3,Research
R00092,Perplexity,Several times a week,24.2,4,Translation
R00092,Gemini,Daily,38.7,3,Customer support automation
R00093,Custom In-house AI,Several times a week,51.2,5,Image generation
R00094,Replit AI,Monthly,74.4,4,Customer support automation
R00095,Jasper AI,Monthly,51.0,4,Translation
R00096,Google Vertex AI,Several times a week,32.4,5,Workflow automation
R00096,Midjourney,Monthly,69.0,4,Code generation
R00097,v0 by Vercel,Daily,21.7,2,Workflow automation
R00097,Azure OpenAI,Monthly,31.7,4,Data analysis
R00097,AWS Bedrock,Monthly,44.5,3,Research
R00097,Devin,Rarely,27.9,4,Data analysis
R00097,Gemini,Rarely,34.7,5,Image generation
R00098,Custom In-house AI,Rarely,59.0,4,Translation
R00098,Cursor,Daily,35.5,3,Brainstorming
R00098,Hugging Face Models,Rarely,32.1,4,Data analysis
R00098,LLaMA / Open-source LLMs,Monthly,4.7,3,Data analysis
R00098,Perplexity,Weekly,21.4,5,Data analysis
R00099,Jasper AI,Several times a week,26.5,4,Debugging
R00100,Claude,Daily,14.4,4,Research
R00100,Midjourney,Several times a week,34.0,5,Translation
R00100,Perplexity,Weekly,-1.9,3,Brainstorming
R00101,Gemini,Weekly,41.6,5,Workflow automation
R00101,Midjourney,Monthly,21.2,4,Image generation
R00101,GitHub Copilot,Daily,52.1,5,Data analysis
R00101,AWS Bedrock,Rarely,46.7,5,Debugging
R00101,Perplexity,Monthly,11.7,5,Translation
R00101,Azure OpenAI,Monthly,6.2,5,Data analysis
R00101,v0 by Vercel,Monthly,33.5,1,Debugging
R00102,Stable Diffusion,Several times a week,24.4,4,Code generation
R00102,ChatGPT,Rarely,22.5,4,Debugging
R00102,Google Vertex AI,Daily,22.7,3,Research
R00102,Jasper AI,Daily,21.4,4,Customer support automation
R00102,Gemini,Weekly,32.2,4,Research
R00103,Google Vertex AI,Daily,58.5,5,Workflow automation
R00103,Notion AI,Rarely,1.6,3,Customer support automation
R00103,AWS Bedrock,Rarely,29.6,5,Workflow automation
R00103,Cursor,Several times a week,-4.5,3,Data analysis
R00104,Google Vertex AI,Rarely,46.9,5,Image generation
R00104,v0 by Vercel,Several times a week,80.0,4,Code generation
R00104,Custom In-house AI,Rarely,21.8,5,Image generation
R00104,AWS Bedrock,Monthly,24.8,4,Research
R00105,LLaMA / Open-source LLMs,Weekly,48.3,4,Research
R00105,Gemini,Weekly,-6.2,5,Research
R00105,Jasper AI,Several times a week,22.5,4,Workflow automation
R00105,Custom In-house AI,Daily,-9.1,4,Data analysis
R00105,Hugging Face Models,Several times a week,5.3,4,Brainstorming
R00106,Jasper AI,Monthly,38.5,3,Writing & docs
R00106,Stable Diffusion,Several times a week,44.1,4,Writing & docs
R00106,Azure OpenAI,Several times a week,41.0,4,Image generation
R00106,AWS Bedrock,Several times a week,49.8,5,Debugging
R00106,Cursor,Several times a week,1.4,4,Customer support automation
R00106,GitHub Copilot,Monthly,18.9,3,Image generation
R00106,Hugging Face Models,Daily,35.7,4,Research
R00106,LLaMA / Open-source LLMs,Monthly,-14.7,5,Image generation
R00107,ChatGPT,Weekly,27.9,4,Translation
R00107,Midjourney,Rarely,-5.8,5,Debugging
R00107,Cursor,Daily,36.6,5,Research
R00107,Claude,Weekly,7.6,4,Customer support automation
R00107,Stable Diffusion,Several times a week,50.8,3,Translation
R00107,GitHub Copilot,Several times a week,16.3,2,Writing & docs
R00107,Azure OpenAI,Weekly,59.6,5,Brainstorming
R00107,Notion AI,Weekly,25.6,5,Brainstorming
R00108,AWS Bedrock,Rarely,42.6,2,Debugging
R00108,Devin,Monthly,21.4,3,Customer support automation
R00108,Custom In-house AI,Several times a week,19.2,5,Workflow automation
R00109,AWS Bedrock,Several times a week,11.3,4,Code generation
R00110,ChatGPT,Weekly,34.7,3,Translation
R00110,Gemini,Weekly,26.1,3,Image generation
R00111,Azure OpenAI,Several times a week,6.5,5,Writing & docs
R00112,Gemini,Several times a week,73.4,4,Debugging
R00112,Notion AI,Monthly,31.3,5,Customer support automation
R00112,AWS Bedrock,Weekly,31.6,4,Data analysis
R00112,Perplexity,Weekly,61.7,4,Code generation
R00112,v0 by Vercel,Several times a week,61.0,2,Data analysis
R00113,Gemini,Weekly,14.0,2,Debugging
R00113,Tableau AI,Weekly,63.3,4,Research
R00113,Azure OpenAI,Daily,33.1,5,Debugging
R00113,LLaMA / Open-source LLMs,Daily,33.5,4,Data analysis
R00113,Custom In-house AI,Daily,8.9,3,Brainstorming
R00113,Claude,Daily,32.5,4,Image generation
R00113,v0 by Vercel,Daily,7.0,5,Translation
R00113,GitHub Copilot,Daily,37.6,5,Translation
R00114,Claude,Daily,-8.8,3,Translation
R00114,Notion AI,Several times a week,51.6,3,Brainstorming
R00114,Azure OpenAI,Weekly,39.2,2,Brainstorming
R00114,Jasper AI,Daily,30.3,4,Writing & docs
R00115,ChatGPT,Several times a week,18.8,3,Customer support automation
R00115,Perplexity,Weekly,11.7,4,Code generation
R00115,Jasper AI,Weekly,25.4,5,Brainstorming
R00115,Replit AI,Monthly,37.1,2,Translation
R00115,Stable Diffusion,Several times a week,42.2,4,Customer support automation
R00115,Cursor,Monthly,11.3,3,Image generation
R00116,Google Vertex AI,Monthly,31.4,4,Research
R00116,Gemini,Weekly,59.3,4,Translation
R00116,Azure OpenAI,Several times a week,-18.8,4,Translation
R00117,AWS Bedrock,Daily,37.8,4,Customer support automation
R00117,Hugging Face Models,Monthly,19.8,5,Data analysis
R00117,Devin,Weekly,30.7,4,Data analysis
R00117,LLaMA / Open-source LLMs,Several times a week,9.4,4,Translation
R00117,Midjourney,Rarely,-14.9,4,Brainstorming
R00117,Tableau AI,Daily,48.4,4,Writing & docs
R00118,Perplexity,Several times a week,16.2,4,Writing & docs
R00118,GitHub Copilot,Daily,33.6,4,Research
R00118,Replit AI,Rarely,29.0,1,Debugging
R00118,Cursor,Weekly,7.1,4,Data analysis
R00119,Replit AI,Daily,25.2,5,Debugging
R00119,Jasper AI,Monthly,24.2,4,Customer support automation
R00119,Hugging Face Models,Daily,57.2,4,Customer support automation
R00120,Tableau AI,Weekly,58.1,5,Image generation
R00120,Jasper AI,Weekly,40.7,4,Debugging
R00121,ChatGPT,Several times a week,44.6,5,Data analysis
R00121,Hugging Face Models,Several times a week,26.9,4,Research
R00121,Notion AI,Weekly,19.0,5,Code generation
R00121,Gemini,Weekly,39.1,4,Writing & docs
R00121,Jasper AI,Rarely,54.0,2,Debugging
R00121,Stable Diffusion,Several times a week,8.1,4,Debugging
R00122,Azure OpenAI,Weekly,49.5,5,Translation
R00122,LLaMA / Open-source LLMs,Several times a week,17.0,4,Research
R00122,Stable Diffusion,Daily,68.7,4,Debugging
R00122,Midjourney,Several times a week,18.3,4,Customer support automation
R00122,v0 by Vercel,Rarely,63.2,5,Debugging
R00122,GitHub Copilot,Several times a week,18.9,1,Debugging
R00122,Gemini,Daily,54.2,5,Data analysis
R00123,AWS Bedrock,Several times a week,21.3,2,Debugging
R00123,LLaMA / Open-source LLMs,Several times a week,21.2,4,Workflow automation
R00123,Gemini,Weekly,29.6,4,Translation
R00123,Cursor,Daily,44.9,3,Brainstorming
R00123,Custom In-house AI,Several times a week,18.7,4,Research
R00123,Notion AI,Several times a week,50.4,5,Customer support automation
R00124,Cursor,Daily,13.8,5,Image generation
R00124,Azure OpenAI,Daily,47.7,5,Data analysis
R00124,Custom In-house AI,Daily,26.7,5,Writing & docs
R00125,Azure OpenAI,Several times a week,43.1,5,Workflow automation
R00125,AWS Bedrock,Weekly,35.8,3,Translation
R00125,Google Vertex AI,Weekly,-0.4,4,Customer support automation
R00126,AWS Bedrock,Daily,-0.8,4,Code generation
R00126,Stable Diffusion,Several times a week,53.4,4,Workflow automation
R00127,Jasper AI,Rarely,43.4,4,Image generation
R00127,Gemini,Weekly,-9.0,3,Code generation
R00127,Custom In-house AI,Daily,24.9,5,Customer support automation
R00127,Stable Diffusion,Daily,24.7,3,Brainstorming
R00128,LLaMA / Open-source LLMs,Daily,40.0,4,Workflow automation
R00128,Cursor,Several times a week,7.2,4,Customer support automation
R00128,Tableau AI,Daily,46.0,4,Brainstorming
