respondent_id,survey_year,age,gender,country,education_level,job_role,industry,company_size,years_of_experience,remote_work_status
R00036,2025,23,Female,Canada,Self-taught / Bootcamp,Data Analyst,Finance & Banking,5000+,3,Hybrid
R00037,2025,40,Female,United States,Master's,ML Engineer,Telecom,201-1000,8,Hybrid
R00038,2026,40,Prefer not to say,India,Bachelor's,DevOps / MLOps Engineer,Technology,51-200,1,On-site
R00039,2025,34,Non-binary,Kenya,Master's,Data Analyst,E-commerce,1001-5000,2,Hybrid
R00040,2025,25,Female,Germany,Bachelor's,Consultant,Media & Entertainment,51-200,8,Hybrid
R00041,2025,31,Female,United Kingdom,Self-taught / Bootcamp,ML Engineer,Legal,1-10,12,Hybrid
R00042,2025,36,Prefer not to say,Germany,Master's,Software Engineer,Finance & Banking,11-50,8,Hybrid
R00043,2025,33,Prefer not to say,United States,PhD,ML Engineer,Manufacturing,1001-5000,6,Hybrid
R00044,2026,36,Female,India,Bachelor's,Data Scientist,Technology,51-200,5,Hybrid
R00045,2026,40,Female,Canada,Self-taught / Bootcamp,Software Engineer,Consulting,51-200,2,Hybrid
R00046,2026,26,Male,United Kingdom,Bachelor's,Data Engineer,Telecom,11-50,4,Fully Remote
R00047,2026,22,Female,Germany,Master's,Software Engineer,Energy,51-200,5,Fully Remote
R00048,2025,31,Male,United States,High School,Business Analyst,Automotive,1001-5000,15,On-site
R00049,2025,29,Male,United States,Bachelor's,AI Researcher,Finance & Banking,201-1000,9,Fully Remote
R00050,2025,38,Male,United Kingdom,Self-taught / Bootcamp,AI Researcher,Manufacturing,51-200,2,On-site
R00051,2025,23,Male,United Kingdom,Bachelor's,Full-Stack Developer,Finance & Banking,51-200,9,On-site
R00052,2026,40,Male,Mexico,Bachelor's,Product Manager,Consulting,51-200,5,On-site
R00053,2025,42,Female,United States,Self-taught / Bootcamp,ML Engineer,Healthcare,5000+,4,On-site
R00054,2026,32,Female,China,Master's,ML Engineer,Education,11-50,11,Hybrid
R00055,2024,32,Male,Israel,Master's,AI Researcher,Technology,5000+,15,Fully Remote
R00056,2026,25,Female,Canada,Bachelor's,Data Engineer,Telecom,5000+,14,Fully Remote
R00057,2025,27,Prefer not to say,Netherlands,PhD,ML Engineer,E-commerce,5000+,4,On-site
R00058,2025,28,Male,Indonesia,Master's,Data Scientist,Manufacturing,1001-5000,5,Hybrid
R00059,2024,43,Male,India,Bachelor's,AI Researcher,Manufacturing,11-50,9,Fully Remote
R00060,2026,31,Male,India,Master's,ML Engineer,Finance & Banking,1-10,14,Fully Remote
R00061,2026,21,Non-binary,United States,Master's,Student / Intern,Consulting,201-1000,5,On-site
R00062,2024,34,Male,Brazil,Master's,Data Scientist,Telecom,51-200,6,Hybrid
R00063,2025,38,Prefer not to say,United States,PhD,Data Analyst,E-commerce,5000+,3,Hybrid
R00064,2025,31,Male,Indonesia,PhD,ML Engineer,Retail,201-1000,3,Fully Remote
R00065,2026,43,Male,Germany,PhD,Business Analyst,Technology,5000+,13,Fully Remote
R00066,2025,38,Male,Sweden,Master's,DevOps / MLOps Engineer,Healthcare,201-1000,19,On-site
R00067,2024,23,Male,India,PhD,Full-Stack Developer,Technology,51-200,7,Fully Remote
R00068,2025,27,Female,Japan,Master's,Product Manager,Healthcare,11-50,14,On-site
R00069,2025,33,Male,Australia,Self-taught / Bootcamp,ML Engineer,Legal,201-1000,9,On-site
R00070,2024,18,Male,United Kingdom,Master's,Data Scientist,E-commerce,1-10,4,Fully Remote
R00071,2025,34,Male,Poland,Master's,Business Analyst,Healthcare,201-1000,9,On-site
R00072,2026,18,Female,Germany,Master's,Data Analyst,Manufacturing,51-200,21,On-site
R00073,2026,40,Female,India,Bachelor's,ML Engineer,Technology,1-10,7,On-site
R00074,2024,39,Female,Italy,PhD,ML Engineer,Finance & Banking,201-1000,22,On-site
R00075,2026,36,Prefer not to say,Germany,Self-taught / Bootcamp,ML Engineer,E-commerce,1001-5000,1,On-site
R00076,2025,26,Female,India,Bachelor's,Software Engineer,E-commerce,11-50,13,On-site
R00077,2024,33,Male,United Kingdom,Master's,Full-Stack Developer,Manufacturing,1001-5000,7,Hybrid
R00078,2024,27,Male,France,Bachelor's,DevOps / MLOps Engineer,Technology,5000+,5,Fully Remote
R00079,2024,23,Male,Canada,PhD,Student / Intern,Healthcare,51-200,7,Fully Remote
R00080,2026,29,Male,France,Master's,AI Researcher,Manufacturing,5000+,1,Hybrid
R00081,2024,37,Non-binary,Australia,Master's,AI Researcher,Finance & Banking,1001-5000,6,Fully Remote
R00082,2024,32,Female,United States,Bachelor's,ML Engineer,Education,1-10,9,Hybrid
R00083,2026,43,Male,India,PhD,Product Manager,Automotive,5000+,20,Fully Remote
R00084,2025,38,Male,Singapore,Bachelor's,Product Manager,Automotive,201-1000,5,On-site
R00085,2026,37,Female,Australia,Master's,ML Engineer,Media & Entertainment,1001-5000,4,Fully Remote
R00086,2025,19,Prefer not to say,United States,Master's,Data Scientist,Technology,1001-5000,5,Fully Remote
R00087,2024,29,Male,India,Master's,Software Engineer,Consulting,201-1000,14,Hybrid
R00088,2026,23,Male,Indonesia,Bachelor's,ML Engineer,Healthcare,201-1000,9,Hybrid
R00089,2024,30,Prefer not to say,UAE,PhD,AI Researcher,Automotive,201-1000,5,Hybrid
R00090,2025,26,Prefer not to say,Australia,PhD,AI Researcher,Education,5000+,10,Hybrid
R00091,2025,28,Male,United States,Master's,Product Manager,Technology,51-200,7,On-site
R00092,2024,40,Male,France,Master's,Product Manager,Finance & Banking,5000+,14,Fully Remote
R00093,2026,35,Female,United States,Master's,Business Analyst,Finance & Banking,5000+,4,Fully Remote
R00094,2025,40,Female,Australia,Self-taught / Bootcamp,ML Engineer,Finance & Banking,201-1000,5,On-site
R00095,2024,19,Male,Netherlands,PhD,Full-Stack Developer,Government,51-200,5,On-site
R00096,2026,32,Non-binary,Canada,Master's,AI Researcher,Finance & Banking,201-1000,2,Hybrid
R00097,2025,39,Male,United States,Self-taught / Bootcamp,Data Analyst,Technology,11-50,9,Fully Remote
R00098,2025,44,Female,Australia,Master's,DevOps / MLOps Engineer,Education,5000+,8,Fully Remote
R00099,2025,19,Female,Nigeria,Master's,AI Researcher,E-commerce,51-200,7,On-site
R00100,2026,29,Male,Brazil,Master's,AI Researcher,Technology,51-200,6,Hybrid
R00101,2024,40,Male,Japan,Self-taught / Bootcamp,Data Scientist,Finance & Banking,1001-5000,2,Fully Remote
R00102,2024,30,Male,United States,Master's,Full-Stack Developer,Technology,201-1000,5,Hybrid
R00103,2025,24,Female,Japan,Master's,Data Analyst,Government,201-1000,5,On-site
R00104,2024,19,Male,France,Bachelor's,AI Researcher,Automotive,201-1000,4,Fully Remote
R00105,2025,24,Female,India,Bachelor's,Software Engineer,E-commerce,201-1000,6,Hybrid
R00106,2025,18,Female,Japan,Master's,Product Manager,Education,51-200,9,Hybrid
R00107,2024,32,Male,Australia,Bachelor's,Data Scientist,Telecom,51-200,27,On-site
R00108,2024,39,Non-binary,France,Bachelor's,Software Engineer,Technology,5000+,8,Fully Remote
R00109,2025,21,Female,India,Self-taught / Bootcamp,DevOps / MLOps Engineer,Technology,201-1000,8,Fully Remote
R00110,2026,34,Female,India,Self-taught / Bootcamp,AI Ethics / Policy,Manufacturing,201-1000,7,Hybrid
R00111,2025,38,Female,China,Bachelor's,Data Engineer,Government,201-1000,1,On-site
R00112,2025,31,Female,Germany,PhD,Consultant,Education,1001-5000,7,On-site
R00113,2024,19,Male,United States,Self-taught / Bootcamp,Full-Stack Developer,Automotive,11-50,7,Hybrid
R00114,2025,35,Female,Poland,Master's,DevOps / MLOps Engineer,Healthcare,1-10,35,Fully Remote
R00115,2024,31,Male,United States,Bachelor's,Data Analyst,Education,5000+,6,On-site
R00116,2025,30,Female,United Kingdom,Bachelor's,Data Scientist,Automotive,201-1000,9,Fully Remote
R00117,2025,27,Female,India,Bachelor's,ML Engineer,Energy,201-1000,7,Hybrid
R00118,2026,32,Male,Spain,PhD,Software Engineer,Technology,201-1000,3,Hybrid
R00119,2025,36,Male,United Kingdom,Master's,Data Analyst,Finance & Banking,1-10,16,Fully Remote
R00120,2026,51,Male,Japan,Master's,Product Manager,Media & Entertainment,1001-5000,12,Hybrid
R00121,2025,32,Male,France,Master's,Product Manager,Technology,201-1000,12,Hybrid
R00122,2026,44,Female,United States,Master's,Data Analyst,Telecom,11-50,3,On-site
R00123,2025,34,Female,United Kingdom,Bachelor's,Software Engineer,E-commerce,201-1000,19,Hybrid
R00124,2024,31,Male,United Kingdom,Master's,Data Scientist,Technology,51-200,2,On-site
R00125,2026,33,Male,China,PhD,Student / Intern,Healthcare,1001-5000,11,Fully Remote
R00126,2024,22,Female,Nigeria,PhD,AI Ethics / Policy,E-commerce,1001-5000,34,Hybrid
R00127,2024,34,Male,UAE,High School,ML Engineer,Healthcare,51-200,3,Hybrid
R00128,2024,18,Prefer not to say,India,Bachelor's,Product Manager,Healthcare,11-50,4,Fully Remote
R00129,2026,25,Male,India,PhD,Software Engineer,Energy,1001-5000,7,On-site
R00130,2024,32,Female,Canada,Master's,ML Engineer,Finance & Banking,1001-5000,5,On-site
R00131,2026,41,Male,France,Master's,Business Analyst,Agriculture,1001-5000,2,Hybrid
R00132,2025,43,Male,Netherlands,Master's,Full-Stack Developer,Manufacturing,201-1000,7,Hybrid
R00133,2024,30,Male,Nigeria,Master's,Data Analyst,Energy,1001-5000,3,Hybrid
R00134,2025,33,Female,Mexico,Bachelor's,Data Scientist,Technology,51-200,10,Fully Remote
R00135,2024,39,Male,United States,Self-taught / Bootcamp,Data Analyst,E-commerce,201-1000,3,Fully Remote
R00136,2025,21,Female,South Korea,High School,AI Researcher,Education,51-200,21,Hybrid
R00137,2025,35,Male,France,High School,UX Designer,Technology,1-10,4,Hybrid
R00138,2025,25,Male,Canada,Bachelor's,DevOps / MLOps Engineer,E-commerce,5000+,5,Hybrid
R00139,2024,30,Male,France,Self-taught / Bootcamp,Business Analyst,Telecom,1-10,13,Fully Remote
R00140,2025,28,Male,Mexico,Bachelor's,ML Engineer,Technology,1-10,3,Fully Remote
R00141,2026,35,Male,Canada,Self-taught / Bootcamp,Business Analyst,Manufacturing,51-200,8,On-site
R00142,2025,36,Male,United States,Bachelor's,AI Researcher,Legal,51-200,18,On-site
R00143,2026,39,Female,Germany,Bachelor's,Data Engineer,E-commerce,1-10,2,Fully Remote
R00144,2024,34,Prefer not to say,Indonesia,PhD,ML Engineer,Finance & Banking,1001-5000,8,Fully Remote
R00145,2026,33,Female,Nigeria,PhD,AI Researcher,Education,11-50,8,Fully Remote
R00146,2024,46,Male,India,PhD,ML Engineer,E-commerce,11-50,12,On-site
R00147,2024,19,Male,Japan,Bachelor's,Software Engineer,Technology,11-50,3,Fully Remote
R00148,2026,45,Male,India,Self-taught / Bootcamp,Data Engineer,Technology,1001-5000,2,On-site
R00149,2026,29,Male,United Kingdom,Bachelor's,Business Analyst,Manufacturing,11-50,10,Fully Remote
R00150,2025,36,Male,Germany,Master's,Business Analyst,Education,201-1000,9,Hybrid
R00151,2024,29,Male,Germany,Master's,Data Scientist,Finance & Banking,51-200,8,On-site
R00152,2024,26,Male,United States,Bachelor's,Business Analyst,Agriculture,5000+,9,Fully Remote
R00153,2025,35,Male,Singapore,Master's,AI Researcher,Manufacturing,11-50,4,Fully Remote
R00154,2026,40,Male,Kenya,Master's,Data Analyst,Finance & Banking,201-1000,8,Hybrid
R00155,2024,35,Male,Canada,Self-taught / Bootcamp,Data Analyst,E-commerce,201-1000,9,On-site
R00156,2026,27,Male,United States,Master's,Data Engineer,Media & Entertainment,5000+,4,Hybrid
R00157,2024,60,Female,India,Master's,ML Engineer,Manufacturing,51-200,27,Hybrid
R00158,2026,41,Male,United States,PhD,Data Engineer,Finance & Banking,1001-5000,10,Hybrid
R00159,2026,39,Male,United States,Master's,Engineering Manager,Manufacturing,1-10,3,On-site
R00160,2025,29,Male,Mexico,Master's,ML Engineer,Finance & Banking,1001-5000,11,Fully Remote
R00161,2025,26,Male,Germany,Bachelor's,Student / Intern,Healthcare,201-1000,3,Fully Remote
R00162,2026,29,Female,United States,Bachelor's,Student / Intern,Manufacturing,5000+,12,On-site
R00163,2025,40,Male,India,Master's,DevOps / MLOps Engineer,Education,1001-5000,16,Fully Remote
R00164,2025,24,Male,South Africa,Master's,Software Engineer,Media & Entertainment,201-1000,4,Fully Remote
R00165,2025,23,Female,Canada,Bachelor's,Data Analyst,Healthcare,201-1000,14,On-site
R00166,2024,36,Female,Canada,PhD,ML Engineer,Government,1-10,9,On-site
R00167,2026,34,Female,Canada,Self-taught / Bootcamp,Data Scientist,Technology,5000+,13,Hybrid
R00168,2024,25,Female,United States,Bachelor's,Business Analyst,Technology,5000+,27,Hybrid
R00169,2026,23,Male,Spain,PhD,Product Manager,Agriculture,201-1000,6,Hybrid
R00170,2024,43,Male,United States,Bachelor's,Product Manager,Technology,51-200,4,Hybrid
R00171,2025,34,Female,Japan,Master's,ML Engineer,Manufacturing,5000+,3,Fully Remote
R00172,2024,21,Prefer not to say,United States,PhD,ML Engineer,Retail,1001-5000,4,On-site
R00173,2024,21,Female,Germany,Master's,Student / Intern,Telecom,11-50,7,Fully Remote
R00174,2024,29,Male,Poland,High School,DevOps / MLOps Engineer,Retail,51-200,9,Hybrid
R00175,2025,37,Male,Singapore,Master's,Data Engineer,Legal,1001-5000,8,Hybrid
R00176,2025,36,Female,India,PhD,Software Engineer,Finance & Banking,1001-5000,13,On-site
R00177,2026,41,Male,Brazil,Bachelor's,Data Engineer,Finance & Banking,11-50,7,Hybrid
R00178,2024,20,Male,United States,High School,Business Analyst,Technology,5000+,20,Hybrid
R00179,2025,33,Female,Israel,PhD,Software Engineer,Technology,201-1000,6,On-site
R00180,2026,43,Male,Japan,Bachelor's,Business Analyst,Manufacturing,11-50,35,On-site
R00181,2024,42,Female,United Kingdom,Master's,Engineering Manager,Finance & Banking,201-1000,11,On-site
R00182,2025,34,Female,India,Bachelor's,ML Engineer,Finance & Banking,5000+,4,Fully Remote
R00183,2025,50,Male,India,Bachelor's,AI Researcher,Manufacturing,1-10,3,Fully Remote
R00184,2025,36,Female,South Korea,Master's,Consultant,Technology,51-200,10,Hybrid
R00185,2024,40,Female,Germany,Master's,Data Engineer,Technology,201-1000,6,Hybrid
R00186,2025,32,Male,India,Bachelor's,DevOps / MLOps Engineer,Consulting,1-10,12,Hybrid
R00187,2024,25,Male,Poland,Master's,Data Scientist,Consulting,11-50,10,Hybrid
R00188,2025,24,Male,United States,Master's,Data Analyst,Healthcare,51-200,7,Fully Remote
R00189,2026,33,Non-binary,India,Master's,DevOps / MLOps Engineer,Education,5000+,4,On-site
R00190,2025,30,Male,United Kingdom,Self-taught / Bootcamp,Data Analyst,Finance & Banking,201-1000,2,Hybrid
R00191,2025,18,Male,India,PhD,Student / Intern,Healthcare,1001-5000,5,Hybrid
R00192,2024,23,Male,Brazil,High School,Full-Stack Developer,Technology,1-10,13,Hybrid
R00193,2026,29,Male,France,Bachelor's,ML Engineer,Finance & Banking,201-1000,8,Hybrid
R00194,2024,37,Male,United States,Master's,AI Researcher,Technology,201-1000,3,On-site
R00195,2025,31,Male,United States,Self-taught / Bootcamp,Software Engineer,Healthcare,5000+,8,Fully Remote
R00196,2026,31,Male,India,Bachelor's,Product Manager,E-commerce,11-50,9,On-site
R00197,2025,24,Female,United States,Self-taught / Bootcamp,Data Analyst,E-commerce,1-10,3,Fully Remote
R00198,2025,32,Female,United States,Bachelor's,ML Engineer,Finance & Banking,5000+,8,Hybrid
R00199,2025,42,Female,India,Bachelor's,Business Analyst,Technology,51-200,7,Fully Remote
R00200,2024,33,Male,United Kingdom,Self-taught / Bootcamp,Data Scientist,Healthcare,1001-5000,3,Hybrid
R00201,2026,19,Female,South Korea,Bachelor's,AI Researcher,Telecom,11-50,9,On-site
R00202,2024,21,Male,India,Master's,Software Engineer,Legal,1001-5000,10,Fully Remote
R00203,2025,36,Male,Australia,Bachelor's,Consultant,Finance & Banking,201-1000,15,Hybrid
R00204,2024,30,Male,United States,Bachelor's,Software Engineer,Agriculture,5000+,15,Hybrid
R00205,2026,31,Male,Australia,Master's,Software Engineer,Healthcare,51-200,2,Fully Remote
R00206,2024,27,Male,South Korea,Self-taught / Bootcamp,Business Analyst,Education,1-10,3,Hybrid
R00207,2025,36,Male,France,Master's,Data Scientist,Consulting,201-1000,10,On-site
R00208,2025,29,Male,India,Master's,Software Engineer,Finance & Banking,5000+,10,Hybrid
R00209,2025,30,Male,India,Master's,Business Analyst,Technology,51-200,10,Hybrid
R00210,2024,25,Male,South Korea,Bachelor's,Data Scientist,Finance & Banking,5000+,35,Hybrid
R00211,2025,39,Prefer not to say,Germany,Master's,Software Engineer,Telecom,51-200,11,Fully Remote
R00212,2024,30,Male,India,Master's,Data Scientist,Automotive,11-50,16,On-site
R00213,2025,36,Female,Indonesia,Master's,ML Engineer,Technology,201-1000,14,On-site
R00214,2025,22,Male,Australia,PhD,Product Manager,Media & Entertainment,201-1000,11,Fully Remote
R00215,2025,45,Male,South Korea,Bachelor's,Data Analyst,Technology,5000+,5,Fully Remote
R00216,2024,42,Prefer not to say,United States,Master's,ML Engineer,Energy,11-50,12,Fully Remote
R00217,2026,18,Female,United Kingdom,Self-taught / Bootcamp,Data Scientist,Telecom,1001-5000,4,Fully Remote
R00218,2025,25,Male,Germany,Bachelor's,Data Scientist,Government,1001-5000,6,Hybrid
R00219,2024,35,Male,Brazil,Bachelor's,Data Scientist,Consulting,5000+,5,Hybrid
R00220,2025,21,Male,India,Master's,Data Scientist,Education,51-200,7,Fully Remote
R00221,2026,30,Female,Canada,PhD,Data Scientist,Technology,1-10,35,Hybrid
R00222,2024,35,Male,Japan,Bachelor's,Data Scientist,Retail,201-1000,1,Hybrid
R00223,2025,30,Female,United Kingdom,Master's,Business Analyst,Technology,201-1000,11,Fully Remote
R00224,2025,36,Female,Japan,PhD,AI Ethics / Policy,Finance & Banking,51-200,2,Fully Remote
R00225,2024,26,Male,United Kingdom,Bachelor's,Data Engineer,Healthcare,1001-5000,5,Hybrid
R00226,2026,18,Female,Germany,Master's,Software Engineer,E-commerce,51-200,15,On-site
R00227,2025,39,Female,United States,Bachelor's,ML Engineer,Technology,11-50,7,Fully Remote
R00228,2024,39,Male,Australia,Master's,Data Scientist,Government,201-1000,3,Fully Remote
R00229,2026,52,Male,India,Master's,ML Engineer,Technology,1001-5000,4,On-site
R00230,2025,18,Female,Nigeria,Master's,Product Manager,Manufacturing,5000+,11,Fully Remote
R00231,2026,38,Male,Brazil,High School,Student / Intern,Healthcare,1001-5000,4,Fully Remote
R00232,2025,18,Female,Brazil,Master's,Data Engineer,Consulting,51-200,8,On-site
R00233,2025,46,Male,Sweden,Bachelor's,AI Researcher,Finance & Banking,1001-5000,7,Hybrid
R00234,2026,35,Male,United States,Bachelor's,Data Analyst,Telecom,11-50,4,Hybrid
R00235,2024,24,Prefer not to say,Canada,High School,ML Engineer,Finance & Banking,1001-5000,33,On-site
R00236,2026,38,Male,United Kingdom,Bachelor's,Data Analyst,Education,201-1000,11,Hybrid
R00237,2025,27,Male,Spain,Self-taught / Bootcamp,Product Manager,E-commerce,51-200,1,On-site
R00238,2024,34,Female,South Korea,PhD,Product Manager,Finance & Banking,1001-5000,8,Fully Remote
R00239,2025,33,Female,Singapore,Self-taught / Bootcamp,Product Manager,Technology,201-1000,4,Hybrid
R00240,2024,45,Male,India,Bachelor's,Data Engineer,Healthcare,1001-5000,13,Hybrid
R00241,2025,46,Female,India,Master's,AI Researcher,Technology,1001-5000,4,On-site
R00242,2025,27,Male,United States,Bachelor's,Data Analyst,Finance & Banking,201-1000,6,Hybrid
R00243,2026,40,Female,Australia,High School,Software Engineer,Manufacturing,5000+,10,Hybrid
R00244,2024,34,Male,United Kingdom,Master's,ML Engineer,Education,201-1000,13,Fully Remote
R00245,2025,20,Male,India,Master's,Data Scientist,E-commerce,5000+,3,Fully Remote
R00246,2024,26,Female,Australia,Bachelor's,Software Engineer,Education,51-200,5,Fully Remote
R00247,2025,50,Female,Nigeria,Master's,DevOps / MLOps Engineer,Technology,11-50,5,Hybrid
R00248,2025,34,Female,United States,Bachelor's,Product Manager,Technology,1001-5000,4,On-site
R00249,2025,39,Male,Sweden,Master's,AI Researcher,E-commerce,201-1000,25,On-site
R00250,2026,30,Prefer not to say,United States,Master's,Full-Stack Developer,Healthcare,201-1000,9,Fully Remote
R00251,2026,27,Male,United States,Master's,ML Engineer,E-commerce,5000+,3,On-site
R00252,2024,32,Male,Kenya,Master's,Business Analyst,Energy,1-10,14,On-site
R00253,2024,29,Non-binary,Canada,Master's,Product Manager,Technology,201-1000,32,On-site
R00254,2025,20,Male,South Africa,Master's,Software Engineer,Retail,51-200,15,Fully Remote
R00255,2025,23,Male,Germany,Master's,ML Engineer,Telecom,201-1000,2,Hybrid
R00256,2024,37,Prefer not to say,Indonesia,Master's,Product Manager,Retail,5000+,5,Hybrid
R00257,2025,28,Prefer not to say,India,Master's,AI Ethics / Policy,Manufacturing,5000+,17,Hybrid
R00258,2025,32,Female,France,PhD,Data Scientist,Telecom,51-200,4,Hybrid
R00259,2025,33,Male,Philippines,Bachelor's,Consultant,Legal,1001-5000,10,Hybrid
R00260,2026,34,Male,United Kingdom,Self-taught / Bootcamp,Data Analyst,E-commerce,201-1000,12,Fully Remote
R00261,2025,41,Male,United States,Master's,Business Analyst,Telecom,201-1000,3,Fully Remote
R00262,2024,23,Male,United States,Master's,Full-Stack Developer,Retail,51-200,7,On-site
R00263,2024,36,Male,UAE,Self-taught / Bootcamp,ML Engineer,Finance & Banking,201-1000,0,Hybrid
R00264,2026,38,Male,Canada,Self-taught / Bootcamp,Data Scientist,Healthcare,201-1000,3,On-site
R00265,2026,39,Male,Canada,Master's,Data Scientist,Education,201-1000,6,On-site
R00266,2025,20,Male,South Korea,Bachelor's,Software Engineer,Finance & Banking,1001-5000,3,Fully Remote
R00267,2025,34,Female,Nigeria,Master's,Consultant,Finance & Banking,5000+,23,Hybrid
R00268,2026,45,Male,Germany,Bachelor's,Data Scientist,Healthcare,201-1000,2,Hybrid
R00269,2025,31,Female,UAE,PhD,Engineering Manager,Healthcare,201-1000,5,Fully Remote
R00270,2026,35,Male,Germany,Master's,Product Manager,Finance & Banking,5000+,8,On-site
R00271,2026,38,Male,Australia,PhD,Data Scientist,E-commerce,11-50,20,On-site
R00272,2025,23,Male,United States,Master's,ML Engineer,Government,5000+,2,Fully Remote
R00273,2025,46,Male,United States,Master's,Business Analyst,Education,201-1000,16,Hybrid
R00274,2024,35,Male,UAE,Bachelor's,Product Manager,Healthcare,201-1000,7,On-site
R00275,2024,36,Female,India,Master's,ML Engineer,Technology,51-200,3,Fully Remote
R00276,2026,18,Male,India,Master's,Engineering Manager,Consulting,11-50,10,On-site
R00277,2026,38,Non-binary,Australia,Master's,Data Scientist,E-commerce,1001-5000,8,Hybrid
R00278,2025,36,Female,Brazil,PhD,AI Researcher,Agriculture,5000+,4,On-site
R00279,2025,44,Male,United States,PhD,AI Researcher,Finance & Banking,201-1000,7,Hybrid
R00280,2024,29,Male,Singapore,Master's,UX Designer,Technology,11-50,5,Fully Remote
R00281,2024,24,Female,France,Master's,Data Scientist,Technology,51-200,8,On-site
R00282,2025,26,Female,UAE,Master's,Data Scientist,Technology,11-50,11,Hybrid
R00283,2025,27,Female,Canada,Master's,ML Engineer,Healthcare,5000+,22,Hybrid
R00284,2025,23,Female,United Kingdom,Bachelor's,Data Scientist,Technology,201-1000,3,Hybrid
R00285,2024,42,Male,United Kingdom,Master's,DevOps / MLOps Engineer,Technology,5000+,32,Fully Remote
R00286,2026,42,Male,United States,Master's,ML Engineer,Finance & Banking,1001-5000,1,Fully Remote
R00287,2025,30,Female,United States,Self-taught / Bootcamp,Product Manager,Media & Entertainment,1001-5000,6,Fully Remote
R00288,2026,28,Male,United States,Master's,Full-Stack Developer,Media & Entertainment,201-1000,11,Fully Remote
R00289,2025,18,Female,Indonesia,Self-taught / Bootcamp,Data Analyst,Technology,51-200,8,Fully Remote
R00290,2024,37,Female,Mexico,Bachelor's,Full-Stack Developer,Automotive,51-200,4,Hybrid
R00291,2026,45,Male,Canada,Master's,Full-Stack Developer,Technology,5000+,6,Fully Remote
R00292,2025,26,Male,India,Self-taught / Bootcamp,Software Engineer,Technology,51-200,5,Hybrid
